id_mensalidade,id_aluno,competencia,data_vencimento,data_pagamento,valor,status,chave_competencia
MEN00000073,ALU00007,2026-01-01,2026-01-10,,1488.0,Em Aberto,202601
MEN00000074,ALU00007,2026-02-01,2026-02-10,2026-02-14,1411.9,Pago,202602
MEN00000075,ALU00007,2026-03-01,2026-03-10,,1428.03,Em Aberto,202603
MEN00000076,ALU00007,2026-04-01,2026-04-10,,1493.36,Em Aberto,202604
MEN00000077,ALU00007,2026-05-01,2026-05-10,2026-05-17,1460.89,Pago,202605
MEN00000078,ALU00007,2026-06-01,2026-06-10,,1406.85,Em Aberto,202606
MEN00000079,ALU00007,2026-07-01,2026-07-10,2026-07-13,1420.8,Pago,202607
MEN00000080,ALU00007,2026-08-01,2026-08-10,2026-08-10,1416.73,Pago,202608
MEN00000081,ALU00007,2026-09-01,2026-09-10,2026-09-07,1468.08,Pago,202609
MEN00000082,ALU00007,2026-10-01,2026-10-10,2026-10-11,1443.79,Pago,202610
MEN00000083,ALU00007,2026-11-01,2026-11-10,2026-11-10,1493.43,Pago,202611
MEN00000084,ALU00007,2026-12-01,2026-12-10,2026-12-07,1444.93,Pago,202612
MEN00000085,ALU00008,2026-01-01,2026-01-10,2026-01-07,1442.18,Pago,202601
MEN00000086,ALU00008,2026-02-01,2026-02-10,,1491.04,Vencido,202602
MEN00000087,ALU00008,2026-03-01,2026-03-10,2026-03-12,1489.77,Pago,202603
MEN00000088,ALU00008,2026-04-01,2026-04-10,2026-04-14,1462.3,Pago,202604
MEN00000089,ALU00008,2026-05-01,2026-05-10,2026-05-08,1474.81,Pago,202605
MEN00000090,ALU00008,2026-06-01,2026-06-10,2026-06-12,1490.56,Pago,202606
MEN00000091,ALU00008,2026-07-01,2026-07-10,2026-07-17,1454.3,Pago,202607
MEN00000092,ALU00008,2026-08-01,2026-08-10,2026-08-16,1407.2,Pago,202608
MEN00000093,ALU00008,2026-09-01,2026-09-10,2026-09-13,1475.41,Pago,202609
MEN00000094,ALU00008,2026-10-01,2026-10-10,2026-10-17,1490.39,Pago,202610
MEN00000095,ALU00008,2026-11-01,2026-11-10,2026-11-17,1453.6,Pago,202611
MEN00000096,ALU00008,2026-12-01,2026-12-10,2026-12-09,1469.66,Pago,202612
MEN00000097,ALU00009,2026-01-01,2026-01-10,2026-01-08,1438.53,Pago,202601
MEN00000098,ALU00009,2026-02-01,2026-02-10,2026-02-11,1469.96,Pago,202602
MEN00000099,ALU00009,2026-03-01,2026-03-10,2026-03-16,1458.85,Pago,202603
MEN00000100,ALU00009,2026-04-01,2026-04-10,,1436.07,Vencido,202604
MEN00000101,ALU00009,2026-05-01,2026-05-10,2026-05-10,1434.51,Pago,202605
MEN00000102,ALU00009,2026-06-01,2026-06-10,2026-06-14,1473.89,Pago,202606
MEN00000103,ALU00009,2026-07-01,2026-07-10,2026-07-11,1471.96,Pago,202607
MEN00000104,ALU00009,2026-08-01,2026-08-10,2026-08-16,1488.43,Pago,202608
MEN00000105,ALU00009,2026-09-01,2026-09-10,2026-09-12,1429.63,Pago,202609
MEN00000106,ALU00009,2026-10-01,2026-10-10,2026-10-11,1426.32,Pago,202610
MEN00000107,ALU00009,2026-11-01,2026-11-10,2026-11-16,1483.99,Pago,202611
MEN00000108,ALU00009,2026-12-01,2026-12-10,2026-12-09,1418.62,Pago,202612
MEN00000109,ALU00010,2026-01-01,2026-01-10,2026-01-11,1457.11,Pago,202601
MEN00000110,ALU00010,2026-02-01,2026-02-10,2026-02-12,1485.9,Pago,202602
MEN00000111,ALU00010,2026-03-01,2026-03-10,2026-03-18,1421.56,Pago,202603
MEN00000112,ALU00010,2026-04-01,2026-04-10,2026-04-13,1408.04,Pago,202604
MEN00000113,ALU00010,2026-05-01,2026-05-10,2026-05-18,1480.78,Pago,202605
MEN00000114,ALU00010,2026-06-01,2026-06-10,2026-06-08,1484.86,Pago,202606
MEN00000115,ALU00010,2026-07-01,2026-07-10,2026-07-14,1489.58,Pago,202607
MEN00000116,ALU00010,2026-08-01,2026-08-10,2026-08-18,1460.66,Pago,202608
MEN00000117,ALU00010,2026-09-01,2026-09-10,2026-09-08,1432.56,Pago,202609
MEN00000118,ALU00010,2026-10-01,2026-10-10,2026-10-12,1487.87,Pago,202610
MEN00000119,ALU00010,2026-11-01,2026-11-10,2026-11-13,1476.03,Pago,202611
MEN00000120,ALU00010,2026-12-01,2026-12-10,2026-12-09,1466.95,Pago,202612
MEN00000121,ALU00011,2026-01-01,2026-01-10,,1443.12,Em Aberto,202601
MEN00000122,ALU00011,2026-02-01,2026-02-10,2026-02-13,1451.87,Pago,202602
MEN00000123,ALU00011,2026-03-01,2026-03-10,,1489.48,Em Aberto,202603
MEN00000124,ALU00011,2026-04-01,2026-04-10,,1413.66,Vencido,202604
MEN00000125,ALU00011,2026-05-01,2026-05-10,2026-05-13,1427.73,Pago,202605
MEN00000126,ALU00011,2026-06-01,2026-06-10,2026-06-17,1411.73,Pago,202606
MEN00000127,ALU00011,2026-07-01,2026-07-10,2026-07-12,1420.5,Pago,202607
MEN00000128,ALU00011,2026-08-01,2026-08-10,2026-08-16,1409.34,Pago,202608
MEN00000129,ALU00011,2026-09-01,2026-09-10,,1459.05,Vencido,202609
MEN00000130,ALU00011,2026-10-01,2026-10-10,,1433.34,Em Aberto,202610
MEN00000131,ALU00011,2026-11-01,2026-11-10,,1489.82,Vencido,202611
MEN00000132,ALU00011,2026-12-01,2026-12-10,2026-12-10,1435.68,Pago,202612
MEN00000133,ALU00012,2026-01-01,2026-01-10,2026-01-16,1463.31,Pago,202601
MEN00000134,ALU00012,2026-02-01,2026-02-10,2026-02-17,1436.48,Pago,202602
MEN00000135,ALU00012,2026-03-01,2026-03-10,,1472.89,Em Aberto,202603
MEN00000136,ALU00012,2026-04-01,2026-04-10,2026-04-09,1407.36,Pago,202604
MEN00000137,ALU00012,2026-05-01,2026-05-10,,1453.73,Vencido,202605
MEN00000138,ALU00012,2026-06-01,2026-06-10,,1435.49,Vencido,202606
MEN00000139,ALU00012,2026-07-01,2026-07-10,,1407.77,Em Aberto,202607
MEN00000140,ALU00012,2026-08-01,2026-08-10,2026-08-09,1454.44,Pago,202608
MEN00000141,ALU00012,2026-09-01,2026-09-10,2026-09-13,1444.43,Pago,202609
MEN00000142,ALU00012,2026-10-01,2026-10-10,,1438.09,Em Aberto,202610
MEN00000143,ALU00012,2026-11-01,2026-11-10,2026-11-16,1458.18,Pago,202611
MEN00000144,ALU00012,2026-12-01,2026-12-10,2026-12-18,1447.78,Pago,202612
MEN00000145,ALU00013,2026-01-01,2026-01-10,2026-01-12,1463.22,Pago,202601
MEN00000146,ALU00013,2026-02-01,2026-02-10,2026-02-13,1488.5,Pago,202602
MEN00000147,ALU00013,2026-03-01,2026-03-10,2026-03-17,1417.49,Pago,202603
MEN00000148,ALU00013,2026-04-01,2026-04-10,,1433.24,Em Aberto,202604
MEN00000149,ALU00013,2026-05-01,2026-05-10,2026-05-14,1424.54,Pago,202605
MEN00000150,ALU00013,2026-06-01,2026-06-10,2026-06-12,1475.85,Pago,202606
MEN00000151,ALU00013,2026-07-01,2026-07-10,2026-07-12,1467.72,Pago,202607
MEN00000152,ALU00013,2026-08-01,2026-08-10,2026-08-08,1442.89,Pago,202608
MEN00000153,ALU00013,2026-09-01,2026-09-10,2026-09-08,1434.27,Pago,202609
MEN00000154,ALU00013,2026-10-01,2026-10-10,,1453.71,Em Aberto,202610
MEN00000155,ALU00013,2026-11-01,2026-11-10,2026-11-07,1454.52,Pago,202611
MEN00000156,ALU00013,2026-12-01,2026-12-10,2026-12-10,1440.19,Pago,202612
MEN00000157,ALU00014,2026-01-01,2026-01-10,2026-01-14,1421.88,Pago,202601
MEN00000158,ALU00014,2026-02-01,2026-02-10,2026-02-12,1449.24,Pago,202602
MEN00000159,ALU00014,2026-03-01,2026-03-10,2026-03-07,1491.13,Pago,202603
MEN00000160,ALU00014,2026-04-01,2026-04-10,2026-04-15,1492.69,Pago,202604
MEN00000161,ALU00014,2026-05-01,2026-05-10,2026-05-14,1423.42,Pago,202605
MEN00000162,ALU00014,2026-06-01,2026-06-10,2026-06-13,1449.05,Pago,202606
MEN00000163,ALU00014,2026-07-01,2026-07-10,2026-07-12,1457.67,Pago,202607
MEN00000164,ALU00014,2026-08-01,2026-08-10,2026-08-10,1442.1,Pago,202608
MEN00000165,ALU00014,2026-09-01,2026-09-10,2026-09-16,1438.81,Pago,202609
MEN00000166,ALU00014,2026-10-01,2026-10-10,,1445.05,Em Aberto,202610
MEN00000167,ALU00014,2026-11-01,2026-11-10,,1423.84,Vencido,202611
MEN00000168,ALU00014,2026-12-01,2026-12-10,,1443.22,Em Aberto,202612
MEN00000169,ALU00015,2026-01-01,2026-01-10,2026-01-08,1464.31,Pago,202601
MEN00000170,ALU00015,2026-02-01,2026-02-10,2026-02-15,1468.84,Pago,202602
MEN00000171,ALU00015,2026-03-01,2026-03-10,2026-03-07,1426.05,Pago,202603
MEN00000172,ALU00015,2026-04-01,2026-04-10,,1428.07,Em Aberto,202604
MEN00000173,ALU00015,2026-05-01,2026-05-10,2026-05-12,1421.66,Pago,202605
MEN00000174,ALU00015,2026-06-01,2026-06-10,2026-06-11,1477.3,Pago,202606
MEN00000175,ALU00015,2026-07-01,2026-07-10,,1492.38,Vencido,202607
MEN00000176,ALU00015,2026-08-01,2026-08-10,2026-08-10,1457.24,Pago,202608
MEN00000177,ALU00015,2026-09-01,2026-09-10,2026-09-10,1441.58,Pago,202609
MEN00000178,ALU00015,2026-10-01,2026-10-10,2026-10-10,1447.43,Pago,202610
MEN00000179,ALU00015,2026-11-01,2026-11-10,2026-11-14,1421.46,Pago,202611
MEN00000180,ALU00015,2026-12-01,2026-12-10,2026-12-16,1446.77,Pago,202612
MEN00000181,ALU00016,2026-01-01,2026-01-10,2026-01-10,1472.94,Pago,202601
MEN00000182,ALU00016,2026-02-01,2026-02-10,2026-02-10,1465.54,Pago,202602
MEN00000183,ALU00016,2026-03-01,2026-03-10,2026-03-16,1471.75,Pago,202603
MEN00000184,ALU00016,2026-04-01,2026-04-10,,1471.03,Em Aberto,202604
MEN00000185,ALU00016,2026-05-01,2026-05-10,2026-05-09,1439.85,Pago,202605
MEN00000186,ALU00016,2026-06-01,2026-06-10,2026-06-07,1417.64,Pago,202606
MEN00000187,ALU00016,2026-07-01,2026-07-10,2026-07-14,1451.86,Pago,202607
MEN00000188,ALU00016,2026-08-01,2026-08-10,2026-08-11,1420.62,Pago,202608
MEN00000189,ALU00016,2026-09-01,2026-09-10,2026-09-07,1407.39,Pago,202609
MEN00000190,ALU00016,2026-10-01,2026-10-10,2026-10-15,1459.79,Pago,202610
MEN00000191,ALU00016,2026-11-01,2026-11-10,2026-11-11,1488.12,Pago,202611
MEN00000192,ALU00016,2026-12-01,2026-12-10,2026-12-08,1488.41,Pago,202612
MEN00000193,ALU00017,2026-01-01,2026-01-10,2026-01-10,1463.21,Pago,202601
MEN00000194,ALU00017,2026-02-01,2026-02-10,2026-02-15,1457.47,Pago,202602
MEN00000195,ALU00017,2026-03-01,2026-03-10,2026-03-14,1433.2,Pago,202603
MEN00000196,ALU00017,2026-04-01,2026-04-10,,1410.08,Vencido,202604
MEN00000197,ALU00017,2026-05-01,2026-05-10,2026-05-08,1426.63,Pago,202605
MEN00000198,ALU00017,2026-06-01,2026-06-10,2026-06-12,1435.86,Pago,202606
MEN00000199,ALU00017,2026-07-01,2026-07-10,2026-07-14,1443.65,Pago,202607
MEN00000200,ALU00017,2026-08-01,2026-08-10,2026-08-09,1440.37,Pago,202608
MEN00000201,ALU00017,2026-09-01,2026-09-10,2026-09-09,1418.66,Pago,202609
MEN00000202,ALU00017,2026-10-01,2026-10-10,2026-10-18,1459.17,Pago,202610
MEN00000203,ALU00017,2026-11-01,2026-11-10,2026-11-11,1415.31,Pago,202611
MEN00000204,ALU00017,2026-12-01,2026-12-10,2026-12-18,1489.96,Pago,202612
MEN00000205,ALU00018,2026-01-01,2026-01-10,2026-01-09,1449.66,Pago,202601
MEN00000206,ALU00018,2026-02-01,2026-02-10,2026-02-15,1423.71,Pago,202602
MEN00000207,ALU00018,2026-03-01,2026-03-10,2026-03-07,1470.55,Pago,202603
MEN00000208,ALU00018,2026-04-01,2026-04-10,,1444.92,Em Aberto,202604
MEN00000209,ALU00018,2026-05-01,2026-05-10,2026-05-15,1440.93,Pago,202605
MEN00000210,ALU00018,2026-06-01,2026-06-10,2026-06-15,1462.56,Pago,202606
MEN00000211,ALU00018,2026-07-01,2026-07-10,,1489.55,Vencido,202607
MEN00000212,ALU00018,2026-08-01,2026-08-10,2026-08-11,1479.94,Pago,202608
MEN00000213,ALU00018,2026-09-01,2026-09-10,,1463.32,Vencido,202609
MEN00000214,ALU00018,2026-10-01,2026-10-10,,1437.04,Vencido,202610
MEN00000215,ALU00018,2026-11-01,2026-11-10,2026-11-15,1492.37,Pago,202611
MEN00000216,ALU00018,2026-12-01,2026-12-10,2026-12-18,1437.19,Pago,202612
MEN00000217,ALU00019,2026-01-01,2026-01-10,2026-01-09,1432.76,Pago,202601
MEN00000218,ALU00019,2026-02-01,2026-02-10,,1467.14,Em Aberto,202602
MEN00000219,ALU00019,2026-03-01,2026-03-10,2026-03-13,1456.53,Pago,202603
MEN00000220,ALU00019,2026-04-01,2026-04-10,2026-04-15,1480.3,Pago,202604
MEN00000221,ALU00019,2026-05-01,2026-05-10,2026-05-12,1469.49,Pago,202605
MEN00000222,ALU00019,2026-06-01,2026-06-10,2026-06-15,1406.9,Pago,202606
MEN00000223,ALU00019,2026-07-01,2026-07-10,2026-07-18,1432.63,Pago,202607
MEN00000224,ALU00019,2026-08-01,2026-08-10,2026-08-07,1444.68,Pago,202608
MEN00000225,ALU00019,2026-09-01,2026-09-10,2026-09-13,1430.66,Pago,202609
MEN00000226,ALU00019,2026-10-01,2026-10-10,2026-10-07,1466.77,Pago,202610
MEN00000227,ALU00019,2026-11-01,2026-11-10,2026-11-10,1459.7,Pago,202611
MEN00000228,ALU00019,2026-12-01,2026-12-10,2026-12-10,1422.44,Pago,202612
MEN00000229,ALU00020,2026-01-01,2026-01-10,2026-01-12,1492.57,Pago,202601
MEN00000230,ALU00020,2026-02-01,2026-02-10,2026-02-13,1409.14,Pago,202602
MEN00000231,ALU00020,2026-03-01,2026-03-10,2026-03-13,1419.77,Pago,202603
MEN00000232,ALU00020,2026-04-01,2026-04-10,2026-04-09,1422.19,Pago,202604
MEN00000233,ALU00020,2026-05-01,2026-05-10,2026-05-18,1455.93,Pago,202605
MEN00000234,ALU00020,2026-06-01,2026-06-10,,1468.77,Vencido,202606
MEN00000235,ALU00020,2026-07-01,2026-07-10,2026-07-17,1441.96,Pago,202607
MEN00000236,ALU00020,2026-08-01,2026-08-10,2026-08-15,1468.28,Pago,202608
MEN00000237,ALU00020,2026-09-01,2026-09-10,2026-09-09,1437.81,Pago,202609
MEN00000238,ALU00020,2026-10-01,2026-10-10,2026-10-18,1476.89,Pago,202610
MEN00000239,ALU00020,2026-11-01,2026-11-10,2026-11-14,1467.94,Pago,202611
MEN00000240,ALU00020,2026-12-01,2026-12-10,2026-12-14,1456.86,Pago,202612
MEN00000241,ALU00021,2026-01-01,2026-01-10,2026-01-15,1417.92,Pago,202601
MEN00000242,ALU00021,2026-02-01,2026-02-10,2026-02-08,1470.55,Pago,202602
MEN00000243,ALU00021,2026-03-01,2026-03-10,2026-03-09,1471.58,Pago,202603
MEN00000244,ALU00021,2026-04-01,2026-04-10,2026-04-16,1479.08,Pago,202604
MEN00000245,ALU00021,2026-05-01,2026-05-10,2026-05-17,1492.0,Pago,202605
MEN00000246,ALU00021,2026-06-01,2026-06-10,2026-06-08,1463.7,Pago,202606
MEN00000247,ALU00021,2026-07-01,2026-07-10,2026-07-07,1464.17,Pago,202607
MEN00000248,ALU00021,2026-08-01,2026-08-10,2026-08-07,1429.89,Pago,202608
MEN00000249,ALU00021,2026-09-01,2026-09-10,2026-09-11,1434.28,Pago,202609
MEN00000250,ALU00021,2026-10-01,2026-10-10,2026-10-07,1460.32,Pago,202610
MEN00000251,ALU00021,2026-11-01,2026-11-10,2026-11-17,1443.32,Pago,202611
MEN00000252,ALU00021,2026-12-01,2026-12-10,,1443.2,Em Aberto,202612
MEN00000253,ALU00022,2026-01-01,2026-01-10,,1471.22,Vencido,202601
MEN00000254,ALU00022,2026-02-01,2026-02-10,2026-02-18,1483.19,Pago,202602
MEN00000255,ALU00022,2026-03-01,2026-03-10,2026-03-18,1460.85,Pago,202603
MEN00000256,ALU00022,2026-04-01,2026-04-10,2026-04-13,1428.16,Pago,202604
MEN00000257,ALU00022,2026-05-01,2026-05-10,2026-05-13,1449.82,Pago,202605
MEN00000258,ALU00022,2026-06-01,2026-06-10,2026-06-17,1408.95,Pago,202606
MEN00000259,ALU00022,2026-07-01,2026-07-10,2026-07-12,1416.94,Pago,202607
MEN00000260,ALU00022,2026-08-01,2026-08-10,,1409.17,Em Aberto,202608
MEN00000261,ALU00022,2026-09-01,2026-09-10,2026-09-12,1430.28,Pago,202609
MEN00000262,ALU00022,2026-10-01,2026-10-10,2026-10-07,1442.73,Pago,202610
MEN00000263,ALU00022,2026-11-01,2026-11-10,2026-11-15,1434.08,Pago,202611
MEN00000264,ALU00022,2026-12-01,2026-12-10,2026-12-14,1427.4,Pago,202612
MEN00000265,ALU00023,2026-01-01,2026-01-10,2026-01-16,1491.14,Pago,202601
MEN00000266,ALU00023,2026-02-01,2026-02-10,2026-02-17,1490.98,Pago,202602
MEN00000267,ALU00023,2026-03-01,2026-03-10,2026-03-15,1445.14,Pago,202603
MEN00000268,ALU00023,2026-04-01,2026-04-10,2026-04-07,1452.58,Pago,202604
MEN00000269,ALU00023,2026-05-01,2026-05-10,2026-05-15,1461.88,Pago,202605
MEN00000270,ALU00023,2026-06-01,2026-06-10,2026-06-18,1486.82,Pago,202606
MEN00000271,ALU00023,2026-07-01,2026-07-10,2026-07-14,1470.65,Pago,202607
MEN00000272,ALU00023,2026-08-01,2026-08-10,2026-08-17,1434.92,Pago,202608
MEN00000273,ALU00023,2026-09-01,2026-09-10,,1458.17,Em Aberto,202609
MEN00000274,ALU00023,2026-10-01,2026-10-10,2026-10-12,1421.28,Pago,202610
MEN00000275,ALU00023,2026-11-01,2026-11-10,2026-11-11,1413.38,Pago,202611
MEN00000276,ALU00023,2026-12-01,2026-12-10,,1406.83,Vencido,202612
MEN00000277,ALU00024,2026-01-01,2026-01-10,2026-01-17,1431.38,Pago,202601
MEN00000278,ALU00024,2026-02-01,2026-02-10,2026-02-15,1410.58,Pago,202602
MEN00000279,ALU00024,2026-03-01,2026-03-10,2026-03-10,1457.82,Pago,202603
MEN00000280,ALU00024,2026-04-01,2026-04-10,,1412.59,Em Aberto,202604
MEN00000281,ALU00024,2026-05-01,2026-05-10,2026-05-18,1446.75,Pago,202605
MEN00000282,ALU00024,2026-06-01,2026-06-10,2026-06-16,1444.3,Pago,202606
MEN00000283,ALU00024,2026-07-01,2026-07-10,2026-07-08,1476.47,Pago,202607
MEN00000284,ALU00024,2026-08-01,2026-08-10,2026-08-10,1463.81,Pago,202608
MEN00000285,ALU00024,2026-09-01,2026-09-10,2026-09-08,1440.27,Pago,202609
MEN00000286,ALU00024,2026-10-01,2026-10-10,2026-10-13,1448.98,Pago,202610
MEN00000287,ALU00024,2026-11-01,2026-11-10,2026-11-17,1441.29,Pago,202611
MEN00000288,ALU00024,2026-12-01,2026-12-10,,1413.04,Em Aberto,202612
MEN00000289,ALU00025,2026-01-01,2026-01-10,2026-01-15,1427.96,Pago,202601
MEN00000290,ALU00025,2026-02-01,2026-02-10,2026-02-14,1455.43,Pago,202602
MEN00000291,ALU00025,2026-03-01,2026-03-10,,1486.52,Em Aberto,202603
MEN00000292,ALU00025,2026-04-01,2026-04-10,,1490.01,Vencido,202604
MEN00000293,ALU00025,2026-05-01,2026-05-10,,1456.82,Em Aberto,202605
MEN00000294,ALU00025,2026-06-01,2026-06-10,2026-06-07,1452.38,Pago,202606
MEN00000295,ALU00025,2026-07-01,2026-07-10,2026-07-12,1425.03,Pago,202607
MEN00000296,ALU00025,2026-08-01,2026-08-10,2026-08-10,1461.02,Pago,202608
MEN00000297,ALU00025,2026-09-01,2026-09-10,2026-09-10,1483.7,Pago,202609
MEN00000298,ALU00025,2026-10-01,2026-10-10,,1423.69,Em Aberto,202610
MEN00000299,ALU00025,2026-11-01,2026-11-10,2026-11-08,1429.63,Pago,202611
MEN00000300,ALU00025,2026-12-01,2026-12-10,2026-12-08,1414.59,Pago,202612
MEN00000301,ALU00026,2026-01-01,2026-01-10,2026-01-17,1482.33,Pago,202601
MEN00000302,ALU00026,2026-02-01,2026-02-10,2026-02-08,1489.1,Pago,202602
MEN00000303,ALU00026,2026-03-01,2026-03-10,2026-03-16,1421.5,Pago,202603
MEN00000304,ALU00026,2026-04-01,2026-04-10,2026-04-09,1437.7,Pago,202604
MEN00000305,ALU00026,2026-05-01,2026-05-10,2026-05-07,1453.15,Pago,202605
MEN00000306,ALU00026,2026-06-01,2026-06-10,2026-06-08,1453.54,Pago,202606
