id_matricula,id_aluno,id_turma,data_matricula,tipo_matricula,status,valor_matricula
MAT000042,ALU00042,TURMA003,2025-12-01,Nova matrícula,Ativo,450
MAT000043,ALU00043,TURMA003,2025-09-26,Nova matrícula,Ativo,650
MAT000044,ALU00044,TURMA003,2025-12-26,Rematrícula,Ativo,450
MAT000045,ALU00045,TURMA003,2025-11-19,Transferência,Ativo,350
MAT000046,ALU00046,TURMA003,2025-11-21,Rematrícula,Ativo,650
MAT000047,ALU00047,TURMA003,2025-09-27,Transferência,Ativo,650
MAT000048,ALU00048,TURMA003,2025-11-14,Nova matrícula,Ativo,450
MAT000049,ALU00049,TURMA003,2025-12-03,Nova matrícula,Ativo,450
MAT000050,ALU00050,TURMA003,2025-12-20,Rematrícula,Ativo,350
MAT000051,ALU00051,TURMA003,2025-09-20,Nova matrícula,Ativo,550
MAT000052,ALU00052,TURMA003,2025-09-16,Rematrícula,Ativo,650
MAT000053,ALU00053,TURMA003,2025-09-06,Transferência,Ativo,650
MAT000054,ALU00054,TURMA003,2025-12-13,Nova matrícula,Ativo,450
MAT000055,ALU00055,TURMA003,2025-09-13,Transferência,Ativo,350
MAT000056,ALU00056,TURMA003,2025-10-22,Transferência,Ativo,650
MAT000057,ALU00057,TURMA003,2025-09-07,Transferência,Ativo,550
MAT000058,ALU00058,TURMA003,2025-12-26,Rematrícula,Ativo,350
MAT000059,ALU00059,TURMA003,2025-09-12,Transferência,Ativo,350
MAT000060,ALU00060,TURMA004,2025-09-15,Nova matrícula,Ativo,450
MAT000061,ALU00061,TURMA004,2025-11-11,Nova matrícula,Ativo,350
MAT000062,ALU00062,TURMA004,2025-11-27,Rematrícula,Ativo,450
MAT000063,ALU00063,TURMA004,2025-11-10,Nova matrícula,Ativo,550
MAT000064,ALU00064,TURMA004,2025-10-13,Rematrícula,Ativo,350
MAT000065,ALU00065,TURMA004,2025-11-28,Nova matrícula,Ativo,450
MAT000066,ALU00066,TURMA004,2025-12-12,Rematrícula,Ativo,350
MAT000067,ALU00067,TURMA004,2025-10-21,Rematrícula,Ativo,450
MAT000068,ALU00068,TURMA004,2025-11-10,Rematrícula,Ativo,550
MAT000069,ALU00069,TURMA004,2025-11-27,Rematrícula,Ativo,550
MAT000070,ALU00070,TURMA004,2025-10-13,Nova matrícula,Ativo,650
MAT000071,ALU00071,TURMA004,2025-09-03,Rematrícula,Ativo,450
MAT000072,ALU00072,TURMA004,2025-10-06,Nova matrícula,Ativo,550
MAT000073,ALU00073,TURMA004,2025-11-14,Transferência,Ativo,650
MAT000074,ALU00074,TURMA004,2025-11-25,Transferência,Ativo,450
MAT000075,ALU00075,TURMA004,2025-12-04,Rematrícula,Ativo,550
MAT000076,ALU00076,TURMA004,2025-12-25,Rematrícula,Ativo,550
MAT000077,ALU00077,TURMA004,2025-10-22,Transferência,Ativo,650
MAT000078,ALU00078,TURMA004,2025-09-13,Transferência,Ativo,550
MAT000079,ALU00079,TURMA005,2025-12-11,Nova matrícula,Ativo,350
MAT000080,ALU00080,TURMA005,2025-11-16,Transferência,Ativo,550
MAT000081,ALU00081,TURMA005,2025-11-25,Rematrícula,Ativo,650
MAT000082,ALU00082,TURMA005,2025-09-05,Nova matrícula,Ativo,550
MAT000083,ALU00083,TURMA005,2025-11-27,Nova matrícula,Ativo,350
MAT000084,ALU00084,TURMA005,2025-11-23,Transferência,Ativo,350
MAT000085,ALU00085,TURMA005,2025-12-08,Rematrícula,Ativo,650
MAT000086,ALU00086,TURMA005,2025-09-04,Rematrícula,Ativo,350
MAT000087,ALU00087,TURMA005,2025-11-06,Rematrícula,Ativo,450
MAT000088,ALU00088,TURMA005,2025-10-17,Transferência,Ativo,350
MAT000089,ALU00089,TURMA005,2025-11-17,Transferência,Ativo,550
MAT000090,ALU00090,TURMA005,2025-09-26,Rematrícula,Ativo,650
MAT000091,ALU00091,TURMA005,2025-11-21,Nova matrícula,Ativo,650
MAT000092,ALU00092,TURMA005,2025-11-16,Nova matrícula,Ativo,550
MAT000093,ALU00093,TURMA005,2025-12-05,Nova matrícula,Ativo,450
MAT000094,ALU00094,TURMA005,2025-11-20,Rematrícula,Ativo,650
MAT000095,ALU00095,TURMA005,2025-11-03,Transferência,Ativo,650
MAT000096,ALU00096,TURMA005,2025-10-15,Nova matrícula,Ativo,550
MAT000097,ALU00097,TURMA005,2025-12-04,Rematrícula,Ativo,350
MAT000098,ALU00098,TURMA006,2025-09-28,Transferência,Ativo,450
MAT000099,ALU00099,TURMA006,2025-11-07,Nova matrícula,Ativo,450
MAT000100,ALU00100,TURMA006,2025-12-06,Nova matrícula,Ativo,650
MAT000101,ALU00101,TURMA006,2025-12-08,Transferência,Ativo,450
MAT000102,ALU00102,TURMA006,2025-10-01,Nova matrícula,Ativo,650
MAT000103,ALU00103,TURMA006,2025-10-12,Transferência,Ativo,550
MAT000104,ALU00104,TURMA006,2025-09-11,Rematrícula,Ativo,650
MAT000105,ALU00105,TURMA006,2025-09-05,Transferência,Ativo,350
MAT000106,ALU00106,TURMA006,2025-11-03,Nova matrícula,Ativo,350
MAT000107,ALU00107,TURMA006,2025-11-01,Nova matrícula,Ativo,450
MAT000108,ALU00108,TURMA006,2025-11-07,Nova matrícula,Ativo,450
MAT000109,ALU00109,TURMA006,2025-09-06,Transferência,Ativo,650
MAT000110,ALU00110,TURMA006,2025-11-17,Rematrícula,Ativo,550
MAT000111,ALU00111,TURMA006,2025-12-04,Transferência,Ativo,450
MAT000112,ALU00112,TURMA006,2025-10-26,Nova matrícula,Ativo,350
MAT000113,ALU00113,TURMA006,2025-09-09,Rematrícula,Ativo,550
MAT000114,ALU00114,TURMA006,2025-10-01,Transferência,Ativo,650
MAT000115,ALU00115,TURMA006,2025-09-26,Transferência,Ativo,450
MAT000116,ALU00116,TURMA006,2025-12-20,Transferência,Ativo,650
MAT000117,ALU00117,TURMA007,2025-12-17,Nova matrícula,Ativo,650
MAT000118,ALU00118,TURMA007,2025-09-05,Transferência,Ativo,650
MAT000119,ALU00119,TURMA007,2025-12-23,Rematrícula,Ativo,450
MAT000120,ALU00120,TURMA007,2025-12-24,Nova matrícula,Ativo,350
MAT000121,ALU00121,TURMA007,2025-10-24,Transferência,Ativo,450
MAT000122,ALU00122,TURMA007,2025-09-24,Rematrícula,Ativo,650
MAT000123,ALU00123,TURMA007,2025-11-06,Nova matrícula,Ativo,350
MAT000124,ALU00124,TURMA007,2025-11-02,Nova matrícula,Ativo,650
MAT000125,ALU00125,TURMA007,2025-11-07,Rematrícula,Ativo,650
MAT000126,ALU00126,TURMA007,2025-10-02,Nova matrícula,Ativo,650
MAT000127,ALU00127,TURMA007,2025-11-01,Rematrícula,Ativo,550
MAT000128,ALU00128,TURMA007,2025-12-10,Rematrícula,Ativo,550
MAT000129,ALU00129,TURMA007,2025-10-09,Transferência,Ativo,450
MAT000130,ALU00130,TURMA007,2025-12-19,Nova matrícula,Ativo,550
MAT000131,ALU00131,TURMA007,2025-12-09,Rematrícula,Ativo,350
MAT000132,ALU00132,TURMA007,2025-12-24,Nova matrícula,Ativo,450
MAT000133,ALU00133,TURMA007,2025-09-04,Transferência,Ativo,550
MAT000134,ALU00134,TURMA007,2025-12-05,Nova matrícula,Ativo,650
MAT000135,ALU00135,TURMA008,2025-12-20,Nova matrícula,Ativo,650
MAT000136,ALU00136,TURMA008,2025-09-26,Nova matrícula,Ativo,650
MAT000137,ALU00137,TURMA008,2025-12-23,Nova matrícula,Ativo,550
MAT000138,ALU00138,TURMA008,2025-11-13,Transferência,Ativo,350
MAT000139,ALU00139,TURMA008,2025-10-16,Transferência,Ativo,650
MAT000140,ALU00140,TURMA008,2025-09-04,Transferência,Ativo,450
MAT000141,ALU00141,TURMA008,2025-10-24,Nova matrícula,Ativo,650
MAT000142,ALU00142,TURMA008,2025-10-02,Transferência,Ativo,550
MAT000143,ALU00143,TURMA008,2025-09-12,Nova matrícula,Ativo,350
MAT000144,ALU00144,TURMA008,2025-10-24,Transferência,Ativo,650
MAT000145,ALU00145,TURMA008,2025-09-12,Rematrícula,Ativo,550
MAT000146,ALU00146,TURMA008,2025-12-08,Transferência,Ativo,350
MAT000147,ALU00147,TURMA008,2025-10-25,Nova matrícula,Ativo,650
MAT000148,ALU00148,TURMA008,2025-11-17,Nova matrícula,Ativo,450
MAT000149,ALU00149,TURMA008,2025-09-11,Rematrícula,Ativo,650
MAT000150,ALU00150,TURMA008,2025-12-02,Nova matrícula,Ativo,650
MAT000151,ALU00151,TURMA008,2025-12-05,Nova matrícula,Ativo,650
MAT000152,ALU00152,TURMA008,2025-10-16,Nova matrícula,Ativo,650
MAT000153,ALU00153,TURMA009,2025-11-22,Nova matrícula,Ativo,650
MAT000154,ALU00154,TURMA009,2025-09-14,Nova matrícula,Ativo,650
MAT000155,ALU00155,TURMA009,2025-12-16,Transferência,Ativo,650
MAT000156,ALU00156,TURMA009,2025-11-02,Rematrícula,Ativo,450
MAT000157,ALU00157,TURMA009,2025-12-13,Transferência,Ativo,650
MAT000158,ALU00158,TURMA009,2025-10-01,Rematrícula,Ativo,350
MAT000159,ALU00159,TURMA009,2025-11-28,Transferência,Ativo,550
MAT000160,ALU00160,TURMA009,2025-12-22,Nova matrícula,Ativo,450
MAT000161,ALU00161,TURMA009,2025-10-09,Transferência,Ativo,550
MAT000162,ALU00162,TURMA009,2025-12-25,Nova matrícula,Ativo,650
MAT000163,ALU00163,TURMA009,2025-11-28,Rematrícula,Ativo,450
MAT000164,ALU00164,TURMA009,2025-10-04,Rematrícula,Ativo,350
MAT000165,ALU00165,TURMA009,2025-11-10,Nova matrícula,Ativo,350
MAT000166,ALU00166,TURMA009,2025-10-14,Rematrícula,Ativo,550
MAT000167,ALU00167,TURMA009,2025-09-27,Transferência,Ativo,450
MAT000168,ALU00168,TURMA009,2025-09-04,Rematrícula,Ativo,350
MAT000169,ALU00169,TURMA009,2025-09-06,Transferência,Ativo,650
MAT000170,ALU00170,TURMA009,2025-12-24,Transferência,Ativo,650
MAT000171,ALU00171,TURMA010,2025-10-28,Nova matrícula,Ativo,450
MAT000172,ALU00172,TURMA010,2025-12-13,Rematrícula,Ativo,450
MAT000173,ALU00173,TURMA010,2025-10-05,Nova matrícula,Ativo,550
MAT000174,ALU00174,TURMA010,2025-09-05,Rematrícula,Ativo,650
MAT000175,ALU00175,TURMA010,2025-10-26,Rematrícula,Ativo,450
MAT000176,ALU00176,TURMA010,2025-11-23,Nova matrícula,Ativo,550
MAT000177,ALU00177,TURMA010,2025-11-23,Rematrícula,Ativo,350
MAT000178,ALU00178,TURMA010,2025-12-10,Nova matrícula,Ativo,650
MAT000179,ALU00179,TURMA010,2025-09-03,Rematrícula,Ativo,450
MAT000180,ALU00180,TURMA010,2025-10-25,Transferência,Ativo,450
MAT000181,ALU00181,TURMA010,2025-10-04,Transferência,Ativo,350
MAT000182,ALU00182,TURMA010,2025-12-26,Transferência,Ativo,450
MAT000183,ALU00183,TURMA010,2025-12-16,Rematrícula,Ativo,450
MAT000184,ALU00184,TURMA010,2025-11-14,Transferência,Ativo,550
MAT000185,ALU00185,TURMA010,2025-11-27,Rematrícula,Ativo,450
MAT000186,ALU00186,TURMA010,2025-10-09,Transferência,Ativo,450
MAT000187,ALU00187,TURMA010,2025-09-27,Nova matrícula,Ativo,450
MAT000188,ALU00188,TURMA010,2025-09-16,Rematrícula,Ativo,450
MAT000189,ALU00189,TURMA010,2025-12-10,Nova matrícula,Ativo,450
MAT000190,ALU00190,TURMA010,2025-10-14,Rematrícula,Ativo,450
MAT000191,ALU00191,TURMA010,2025-10-15,Transferência,Ativo,350
MAT000192,ALU00192,TURMA010,2025-12-27,Transferência,Ativo,550
MAT000193,ALU00193,TURMA011,2025-12-03,Transferência,Ativo,650
MAT000194,ALU00194,TURMA011,2025-09-07,Transferência,Ativo,350
MAT000195,ALU00195,TURMA011,2025-10-14,Nova matrícula,Ativo,650
MAT000196,ALU00196,TURMA011,2025-11-18,Nova matrícula,Ativo,650
MAT000197,ALU00197,TURMA011,2025-10-12,Nova matrícula,Ativo,450
MAT000198,ALU00198,TURMA011,2025-10-08,Rematrícula,Ativo,650
MAT000199,ALU00199,TURMA011,2025-11-27,Nova matrícula,Ativo,350
MAT000200,ALU00200,TURMA011,2025-10-21,Transferência,Ativo,550
MAT000201,ALU00201,TURMA011,2025-11-13,Rematrícula,Ativo,650
MAT000202,ALU00202,TURMA011,2025-09-08,Nova matrícula,Ativo,550
MAT000203,ALU00203,TURMA011,2025-10-09,Nova matrícula,Ativo,350
MAT000204,ALU00204,TURMA011,2025-09-20,Nova matrícula,Ativo,650
MAT000205,ALU00205,TURMA011,2025-11-13,Nova matrícula,Ativo,550
MAT000206,ALU00206,TURMA011,2025-11-27,Rematrícula,Ativo,350
MAT000207,ALU00207,TURMA011,2025-10-02,Nova matrícula,Ativo,550
MAT000208,ALU00208,TURMA011,2025-12-28,Transferência,Ativo,650
MAT000209,ALU00209,TURMA011,2025-09-09,Nova matrícula,Ativo,450
MAT000210,ALU00210,TURMA011,2025-11-25,Transferência,Ativo,450
MAT000211,ALU00211,TURMA011,2025-12-15,Transferência,Ativo,450
MAT000212,ALU00212,TURMA011,2025-11-21,Transferência,Ativo,550
MAT000213,ALU00213,TURMA012,2025-12-08,Nova matrícula,Ativo,350
MAT000214,ALU00214,TURMA012,2025-11-09,Nova matrícula,Ativo,450
MAT000215,ALU00215,TURMA012,2025-10-09,Transferência,Ativo,650
MAT000216,ALU00216,TURMA012,2025-11-23,Nova matrícula,Ativo,450
MAT000217,ALU00217,TURMA012,2025-09-15,Transferência,Ativo,350
MAT000218,ALU00218,TURMA012,2025-12-05,Rematrícula,Ativo,650
MAT000219,ALU00219,TURMA012,2025-10-20,Rematrícula,Ativo,550
MAT000220,ALU00220,TURMA012,2025-11-07,Transferência,Ativo,450
MAT000221,ALU00221,TURMA012,2025-09-25,Nova matrícula,Ativo,550
MAT000222,ALU00222,TURMA012,2025-10-12,Rematrícula,Ativo,650
MAT000223,ALU00223,TURMA012,2025-11-12,Transferência,Ativo,350
MAT000224,ALU00224,TURMA012,2025-11-11,Transferência,Ativo,350
MAT000225,ALU00225,TURMA012,2025-09-05,Transferência,Ativo,450
MAT000226,ALU00226,TURMA012,2025-12-03,Transferência,Ativo,550
MAT000227,ALU00227,TURMA012,2025-09-19,Transferência,Ativo,650
MAT000228,ALU00228,TURMA012,2025-11-11,Rematrícula,Ativo,450
MAT000229,ALU00229,TURMA012,2025-09-20,Nova matrícula,Ativo,350
MAT000230,ALU00230,TURMA012,2025-10-24,Rematrícula,Ativo,550
MAT000231,ALU00231,TURMA012,2025-11-05,Rematrícula,Ativo,550
MAT000232,ALU00232,TURMA012,2025-12-08,Transferência,Ativo,450
MAT000233,ALU00233,TURMA012,2025-09-13,Nova matrícula,Ativo,550
MAT000234,ALU00234,TURMA013,2025-12-24,Nova matrícula,Ativo,550
MAT000235,ALU00235,TURMA013,2025-11-10,Nova matrícula,Ativo,550
MAT000236,ALU00236,TURMA013,2025-10-09,Transferência,Ativo,550
MAT000237,ALU00237,TURMA013,2025-12-25,Transferência,Ativo,550
MAT000238,ALU00238,TURMA013,2025-10-15,Rematrícula,Ativo,650
MAT000239,ALU00239,TURMA013,2025-11-02,Nova matrícula,Ativo,450
MAT000240,ALU00240,TURMA013,2025-12-21,Rematrícula,Ativo,650
MAT000241,ALU00241,TURMA013,2025-09-20,Rematrícula,Ativo,650
MAT000242,ALU00242,TURMA013,2025-12-17,Rematrícula,Ativo,450
MAT000243,ALU00243,TURMA013,2025-10-06,Transferência,Ativo,550
MAT000244,ALU00244,TURMA013,2025-12-22,Nova matrícula,Ativo,350
MAT000245,ALU00245,TURMA013,2025-12-14,Nova matrícula,Ativo,450
MAT000246,ALU00246,TURMA013,2025-12-22,Rematrícula,Ativo,350
MAT000247,ALU00247,TURMA013,2025-09-22,Rematrícula,Ativo,550
MAT000248,ALU00248,TURMA013,2025-09-19,Rematrícula,Ativo,350
MAT000249,ALU00249,TURMA013,2025-11-06,Transferência,Ativo,650
MAT000250,ALU00250,TURMA013,2025-09-02,Transferência,Ativo,550
MAT000251,ALU00251,TURMA013,2025-10-28,Nova matrícula,Ativo,550
MAT000252,ALU00252,TURMA013,2025-09-09,Nova matrícula,Ativo,650
MAT000253,ALU00253,TURMA013,2025-09-26,Rematrícula,Ativo,350
MAT000254,ALU00254,TURMA013,2025-11-24,Rematrícula,Ativo,450
MAT000255,ALU00255,TURMA013,2025-10-16,Rematrícula,Ativo,650
MAT000256,ALU00256,TURMA013,2025-10-04,Nova matrícula,Ativo,650
MAT000257,ALU00257,TURMA014,2025-09-13,Transferência,Ativo,550
MAT000258,ALU00258,TURMA014,2025-12-13,Nova matrícula,Ativo,450
MAT000259,ALU00259,TURMA014,2025-12-26,Rematrícula,Ativo,550
MAT000260,ALU00260,TURMA014,2025-11-10,Nova matrícula,Ativo,650
MAT000261,ALU00261,TURMA014,2025-09-06,Rematrícula,Ativo,650
MAT000262,ALU00262,TURMA014,2025-09-14,Rematrícula,Ativo,450
MAT000263,ALU00263,TURMA014,2025-11-14,Transferência,Ativo,550
MAT000264,ALU00264,TURMA014,2025-10-04,Transferência,Ativo,550
MAT000265,ALU00265,TURMA014,2025-10-12,Nova matrícula,Ativo,450
MAT000266,ALU00266,TURMA014,2025-12-20,Transferência,Ativo,650
MAT000267,ALU00267,TURMA014,2025-09-04,Transferência,Ativo,550
MAT000268,ALU00268,TURMA014,2025-09-25,Transferência,Ativo,450
MAT000269,ALU00269,TURMA014,2025-12-03,Rematrícula,Ativo,350
MAT000270,ALU00270,TURMA014,2025-10-27,Nova matrícula,Ativo,350
MAT000271,ALU00271,TURMA014,2025-09-26,Nova matrícula,Ativo,650
MAT000272,ALU00272,TURMA014,2025-09-17,Transferência,Ativo,550
MAT000273,ALU00273,TURMA014,2025-10-26,Transferência,Ativo,550
MAT000274,ALU00274,TURMA014,2025-12-16,Nova matrícula,Ativo,550
MAT000275,ALU00275,TURMA014,2025-10-16,Rematrícula,Ativo,450
MAT000276,ALU00276,TURMA014,2025-10-08,Nova matrícula,Ativo,550
MAT000277,ALU00277,TURMA014,2025-09-15,Transferência,Ativo,650
MAT000278,ALU00278,TURMA014,2025-10-10,Rematrícula,Ativo,450
MAT000279,ALU00279,TURMA015,2025-11-05,Transferência,Ativo,650
MAT000280,ALU00280,TURMA015,2025-12-22,Transferência,Ativo,450
MAT000281,ALU00281,TURMA015,2025-09-01,Nova matrícula,Ativo,650
MAT000282,ALU00282,TURMA015,2025-10-21,Transferência,Ativo,550
MAT000283,ALU00283,TURMA015,2025-09-01,Transferência,Ativo,650
MAT000284,ALU00284,TURMA015,2025-12-23,Transferência,Ativo,550
MAT000285,ALU00285,TURMA015,2025-11-16,Transferência,Ativo,650
MAT000286,ALU00286,TURMA015,2025-10-06,Nova matrícula,Ativo,650
MAT000287,ALU00287,TURMA015,2025-11-06,Rematrícula,Ativo,650
MAT000288,ALU00288,TURMA015,2025-12-18,Rematrícula,Ativo,550
MAT000289,ALU00289,TURMA015,2025-11-27,Nova matrícula,Ativo,550
MAT000290,ALU00290,TURMA015,2025-09-23,Transferência,Ativo,650
MAT000291,ALU00291,TURMA015,2025-09-25,Rematrícula,Ativo,450
MAT000292,ALU00292,TURMA015,2025-12-06,Transferência,Ativo,350
MAT000293,ALU00293,TURMA015,2025-11-13,Transferência,Ativo,650
MAT000294,ALU00294,TURMA015,2025-10-14,Nova matrícula,Ativo,350
MAT000295,ALU00295,TURMA015,2025-10-10,Transferência,Ativo,550
MAT000296,ALU00296,TURMA015,2025-11-22,Transferência,Ativo,550
MAT000297,ALU00297,TURMA015,2025-09-23,Nova matrícula,Ativo,450
MAT000298,ALU00298,TURMA015,2025-09-08,Nova matrícula,Ativo,450
MAT000299,ALU00299,TURMA015,2025-12-13,Nova matrícula,Ativo,550
MAT000300,ALU00300,TURMA015,2025-09-28,Nova matrícula,Ativo,450
MAT000301,ALU00301,TURMA015,2025-10-18,Nova matrícula,Ativo,650
MAT000302,ALU00302,TURMA016,2025-09-17,Nova matrícula,Ativo,550
MAT000303,ALU00303,TURMA016,2025-09-08,Transferência,Ativo,350
MAT000304,ALU00304,TURMA016,2025-09-01,Transferência,Ativo,650
MAT000305,ALU00305,TURMA016,2025-10-07,Nova matrícula,Ativo,450
MAT000306,ALU00306,TURMA016,2025-10-04,Rematrícula,Ativo,450
MAT000307,ALU00307,TURMA016,2025-12-15,Nova matrícula,Ativo,550
MAT000308,ALU00308,TURMA016,2025-10-17,Transferência,Ativo,450
MAT000309,ALU00309,TURMA016,2025-11-21,Rematrícula,Ativo,550
MAT000310,ALU00310,TURMA016,2025-12-08,Rematrícula,Ativo,650
MAT000311,ALU00311,TURMA016,2025-10-05,Rematrícula,Ativo,650
MAT000312,ALU00312,TURMA016,2025-11-11,Transferência,Ativo,350
MAT000313,ALU00313,TURMA016,2025-10-16,Transferência,Ativo,350
MAT000314,ALU00314,TURMA016,2025-11-14,Rematrícula,Ativo,650
MAT000315,ALU00315,TURMA016,2025-09-22,Nova matrícula,Ativo,650
MAT000316,ALU00316,TURMA016,2025-12-08,Transferência,Ativo,650
MAT000317,ALU00317,TURMA016,2025-10-02,Transferência,Ativo,650
MAT000318,ALU00318,TURMA016,2025-12-04,Transferência,Ativo,550
MAT000319,ALU00319,TURMA016,2025-12-15,Nova matrícula,Ativo,450
MAT000320,ALU00320,TURMA016,2025-12-19,Rematrícula,Ativo,350
MAT000321,ALU00321,TURMA016,2025-11-24,Transferência,Ativo,550
MAT000322,ALU00322,TURMA016,2025-10-27,Rematrícula,Ativo,450
MAT000323,ALU00323,TURMA016,2025-10-02,Nova matrícula,Ativo,450
MAT000324,ALU00324,TURMA017,2025-09-16,Nova matrícula,Ativo,450
MAT000325,ALU00325,TURMA017,2025-11-08,Rematrícula,Ativo,350
MAT000326,ALU00326,TURMA017,2025-10-09,Nova matrícula,Ativo,650
MAT000327,ALU00327,TURMA017,2025-11-07,Rematrícula,Ativo,350
MAT000328,ALU00328,TURMA017,2025-10-20,Nova matrícula,Ativo,650
MAT000329,ALU00329,TURMA017,2025-12-21,Transferência,Ativo,550
MAT000330,ALU00330,TURMA017,2025-09-23,Nova matrícula,Ativo,350
MAT000331,ALU00331,TURMA017,2025-10-16,Rematrícula,Ativo,350
MAT000332,ALU00332,TURMA017,2025-12-07,Rematrícula,Ativo,650
MAT000333,ALU00333,TURMA017,2025-12-20,Rematrícula,Ativo,550
MAT000334,ALU00334,TURMA017,2025-11-02,Rematrícula,Ativo,650
MAT000335,ALU00335,TURMA017,2025-12-06,Rematrícula,Ativo,350
MAT000336,ALU00336,TURMA017,2025-09-23,Transferência,Ativo,550
MAT000337,ALU00337,TURMA017,2025-10-26,Rematrícula,Ativo,550
MAT000338,ALU00338,TURMA017,2025-11-21,Rematrícula,Ativo,350
MAT000339,ALU00339,TURMA017,2025-10-20,Transferência,Ativo,650
MAT000340,ALU00340,TURMA017,2025-11-07,Nova matrícula,Ativo,550
MAT000341,ALU00341,TURMA017,2025-11-27,Nova matrícula,Ativo,550
MAT000342,ALU00342,TURMA017,2025-10-15,Nova matrícula,Ativo,350
MAT000343,ALU00343,TURMA017,2025-12-02,Transferência,Ativo,550
MAT000344,ALU00344,TURMA017,2025-09-17,Transferência,Ativo,450
MAT000345,ALU00345,TURMA017,2025-10-25,Rematrícula,Ativo,650
MAT000346,ALU00346,TURMA017,2025-10-11,Rematrícula,Ativo,550
MAT000347,ALU00347,TURMA017,2025-09-11,Nova matrícula,Ativo,350
MAT000348,ALU00348,TURMA017,2025-10-21,Rematrícula,Ativo,550
MAT000349,ALU00349,TURMA018,2025-10-17,Transferência,Ativo,550
MAT000350,ALU00350,TURMA018,2025-11-16,Transferência,Ativo,350
MAT000351,ALU00351,TURMA018,2025-11-18,Nova matrícula,Ativo,450
MAT000352,ALU00352,TURMA018,2025-12-23,Nova matrícula,Ativo,350
MAT000353,ALU00353,TURMA018,2025-11-21,Transferência,Ativo,650
MAT000354,ALU00354,TURMA018,2025-11-10,Transferência,Ativo,650
MAT000355,ALU00355,TURMA018,2025-10-01,Transferência,Ativo,650
MAT000356,ALU00356,TURMA018,2025-12-14,Transferência,Ativo,650
MAT000357,ALU00357,TURMA018,2025-11-02,Nova matrícula,Ativo,450
MAT000358,ALU00358,TURMA018,2025-12-22,Rematrícula,Ativo,350
MAT000359,ALU00359,TURMA018,2025-12-18,Nova matrícula,Ativo,450
MAT000360,ALU00360,TURMA018,2025-09-27,Rematrícula,Ativo,450
