id_nota,id_aluno,disciplina,periodo,nota
NOT00000058,ALU00010,História,4º Bimestre,9.0
NOT00000059,ALU00010,Geografia,1º Bimestre,7.8
NOT00000060,ALU00010,Inglês,3º Bimestre,8.5
NOT00000061,ALU00011,Português,2º Bimestre,7.0
NOT00000062,ALU00011,Matemática,2º Bimestre,9.2
NOT00000063,ALU00011,Ciências,3º Bimestre,8.7
NOT00000064,ALU00011,História,2º Bimestre,7.3
NOT00000065,ALU00011,Geografia,1º Bimestre,9.6
NOT00000066,ALU00011,Inglês,3º Bimestre,9.3
NOT00000067,ALU00012,Português,4º Bimestre,6.7
NOT00000068,ALU00012,Matemática,4º Bimestre,7.1
NOT00000069,ALU00012,Ciências,3º Bimestre,6.0
NOT00000070,ALU00012,História,4º Bimestre,7.9
NOT00000071,ALU00012,Geografia,2º Bimestre,7.3
NOT00000072,ALU00012,Inglês,3º Bimestre,7.6
NOT00000073,ALU00013,Português,1º Bimestre,8.4
NOT00000074,ALU00013,Matemática,1º Bimestre,6.7
NOT00000075,ALU00013,Ciências,1º Bimestre,6.6
NOT00000076,ALU00013,História,1º Bimestre,5.8
NOT00000077,ALU00013,Geografia,3º Bimestre,7.3
NOT00000078,ALU00013,Inglês,3º Bimestre,6.6
NOT00000079,ALU00014,Português,3º Bimestre,8.0
NOT00000080,ALU00014,Matemática,4º Bimestre,6.5
NOT00000081,ALU00014,Ciências,2º Bimestre,9.4
NOT00000082,ALU00014,História,3º Bimestre,6.7
NOT00000083,ALU00014,Geografia,2º Bimestre,7.5
NOT00000084,ALU00014,Inglês,2º Bimestre,6.3
NOT00000085,ALU00015,Português,4º Bimestre,5.6
NOT00000086,ALU00015,Matemática,1º Bimestre,5.8
NOT00000087,ALU00015,Ciências,1º Bimestre,8.4
NOT00000088,ALU00015,História,2º Bimestre,6.3
NOT00000089,ALU00015,Geografia,1º Bimestre,8.0
NOT00000090,ALU00015,Inglês,3º Bimestre,7.8
NOT00000091,ALU00016,Português,1º Bimestre,7.2
NOT00000092,ALU00016,Matemática,2º Bimestre,5.7
NOT00000093,ALU00016,Ciências,1º Bimestre,6.8
NOT00000094,ALU00016,História,3º Bimestre,9.3
NOT00000095,ALU00016,Geografia,1º Bimestre,8.1
NOT00000096,ALU00016,Inglês,4º Bimestre,6.7
NOT00000097,ALU00017,Português,3º Bimestre,8.0
NOT00000098,ALU00017,Matemática,2º Bimestre,8.6
NOT00000099,ALU00017,Ciências,2º Bimestre,9.2
NOT00000100,ALU00017,História,3º Bimestre,7.0
NOT00000101,ALU00017,Geografia,2º Bimestre,6.5
NOT00000102,ALU00017,Inglês,3º Bimestre,5.8
NOT00000103,ALU00018,Português,2º Bimestre,9.0
NOT00000104,ALU00018,Matemática,4º Bimestre,5.6
NOT00000105,ALU00018,Ciências,3º Bimestre,9.6
NOT00000106,ALU00018,História,2º Bimestre,8.2
NOT00000107,ALU00018,Geografia,1º Bimestre,7.7
NOT00000108,ALU00018,Inglês,3º Bimestre,6.1
NOT00000109,ALU00019,Português,2º Bimestre,8.4
NOT00000110,ALU00019,Matemática,2º Bimestre,6.0
NOT00000111,ALU00019,Ciências,1º Bimestre,9.0
NOT00000112,ALU00019,História,1º Bimestre,5.5
NOT00000113,ALU00019,Geografia,3º Bimestre,6.2
NOT00000114,ALU00019,Inglês,3º Bimestre,8.1
NOT00000115,ALU00020,Português,4º Bimestre,8.1
NOT00000116,ALU00020,Matemática,3º Bimestre,6.2
NOT00000117,ALU00020,Ciências,4º Bimestre,8.2
NOT00000118,ALU00020,História,3º Bimestre,6.0
NOT00000119,ALU00020,Geografia,4º Bimestre,6.1
NOT00000120,ALU00020,Inglês,4º Bimestre,9.7
NOT00000121,ALU00021,Português,1º Bimestre,7.3
NOT00000122,ALU00021,Matemática,4º Bimestre,7.6
NOT00000123,ALU00021,Ciências,2º Bimestre,7.1
NOT00000124,ALU00021,História,2º Bimestre,7.5
NOT00000125,ALU00021,Geografia,4º Bimestre,7.1
NOT00000126,ALU00021,Inglês,1º Bimestre,7.7
NOT00000127,ALU00022,Português,4º Bimestre,5.8
NOT00000128,ALU00022,Matemática,1º Bimestre,9.1
NOT00000129,ALU00022,Ciências,4º Bimestre,7.8
NOT00000130,ALU00022,História,2º Bimestre,7.7
NOT00000131,ALU00022,Geografia,4º Bimestre,7.7
NOT00000132,ALU00022,Inglês,1º Bimestre,5.6
NOT00000133,ALU00023,Português,3º Bimestre,6.3
NOT00000134,ALU00023,Matemática,1º Bimestre,6.4
NOT00000135,ALU00023,Ciências,2º Bimestre,7.7
NOT00000136,ALU00023,História,3º Bimestre,9.5
NOT00000137,ALU00023,Geografia,3º Bimestre,8.0
NOT00000138,ALU00023,Inglês,2º Bimestre,8.2
NOT00000139,ALU00024,Português,3º Bimestre,7.9
NOT00000140,ALU00024,Matemática,3º Bimestre,9.4
NOT00000141,ALU00024,Ciências,2º Bimestre,8.6
NOT00000142,ALU00024,História,4º Bimestre,6.5
NOT00000143,ALU00024,Geografia,4º Bimestre,7.4
NOT00000144,ALU00024,Inglês,3º Bimestre,7.6
NOT00000145,ALU00025,Português,3º Bimestre,6.8
NOT00000146,ALU00025,Matemática,1º Bimestre,7.5
NOT00000147,ALU00025,Ciências,1º Bimestre,9.4
NOT00000148,ALU00025,História,3º Bimestre,7.9
NOT00000149,ALU00025,Geografia,3º Bimestre,7.0
NOT00000150,ALU00025,Inglês,2º Bimestre,7.7
NOT00000151,ALU00026,Português,4º Bimestre,7.7
NOT00000152,ALU00026,Matemática,3º Bimestre,5.6
NOT00000153,ALU00026,Ciências,1º Bimestre,9.6
NOT00000154,ALU00026,História,1º Bimestre,6.6
NOT00000155,ALU00026,Geografia,1º Bimestre,7.0
NOT00000156,ALU00026,Inglês,4º Bimestre,7.0
NOT00000157,ALU00027,Português,4º Bimestre,9.5
NOT00000158,ALU00027,Matemática,1º Bimestre,5.6
NOT00000159,ALU00027,Ciências,2º Bimestre,5.9
NOT00000160,ALU00027,História,1º Bimestre,6.3
NOT00000161,ALU00027,Geografia,1º Bimestre,7.5
NOT00000162,ALU00027,Inglês,1º Bimestre,9.5
NOT00000163,ALU00028,Português,3º Bimestre,7.2
NOT00000164,ALU00028,Matemática,1º Bimestre,8.2
NOT00000165,ALU00028,Ciências,1º Bimestre,5.9
NOT00000166,ALU00028,História,4º Bimestre,6.5
NOT00000167,ALU00028,Geografia,2º Bimestre,8.1
NOT00000168,ALU00028,Inglês,2º Bimestre,8.1
NOT00000169,ALU00029,Português,3º Bimestre,5.7
NOT00000170,ALU00029,Matemática,2º Bimestre,8.7
NOT00000171,ALU00029,Ciências,3º Bimestre,7.1
NOT00000172,ALU00029,História,2º Bimestre,9.6
NOT00000173,ALU00029,Geografia,1º Bimestre,7.3
NOT00000174,ALU00029,Inglês,4º Bimestre,8.8
NOT00000175,ALU00030,Português,4º Bimestre,6.2
NOT00000176,ALU00030,Matemática,4º Bimestre,7.7
NOT00000177,ALU00030,Ciências,3º Bimestre,6.9
NOT00000178,ALU00030,História,3º Bimestre,6.0
NOT00000179,ALU00030,Geografia,4º Bimestre,9.7
NOT00000180,ALU00030,Inglês,4º Bimestre,6.5
NOT00000181,ALU00031,Português,2º Bimestre,7.2
NOT00000182,ALU00031,Matemática,4º Bimestre,5.7
NOT00000183,ALU00031,Ciências,2º Bimestre,6.2
NOT00000184,ALU00031,História,4º Bimestre,8.9
NOT00000185,ALU00031,Geografia,1º Bimestre,7.5
NOT00000186,ALU00031,Inglês,1º Bimestre,8.5
NOT00000187,ALU00032,Português,1º Bimestre,8.9
NOT00000188,ALU00032,Matemática,4º Bimestre,9.3
NOT00000189,ALU00032,Ciências,4º Bimestre,9.0
NOT00000190,ALU00032,História,4º Bimestre,9.3
NOT00000191,ALU00032,Geografia,2º Bimestre,9.7
NOT00000192,ALU00032,Inglês,4º Bimestre,9.6
NOT00000193,ALU00033,Português,2º Bimestre,7.1
NOT00000194,ALU00033,Matemática,4º Bimestre,7.0
NOT00000195,ALU00033,Ciências,4º Bimestre,7.9
NOT00000196,ALU00033,História,4º Bimestre,6.2
NOT00000197,ALU00033,Geografia,3º Bimestre,7.3
NOT00000198,ALU00033,Inglês,3º Bimestre,5.6
NOT00000199,ALU00034,Português,3º Bimestre,7.0
NOT00000200,ALU00034,Matemática,2º Bimestre,6.7
NOT00000201,ALU00034,Ciências,4º Bimestre,8.1
NOT00000202,ALU00034,História,2º Bimestre,9.0
NOT00000203,ALU00034,Geografia,4º Bimestre,8.2
NOT00000204,ALU00034,Inglês,4º Bimestre,6.8
NOT00000205,ALU00035,Português,1º Bimestre,9.5
NOT00000206,ALU00035,Matemática,4º Bimestre,8.7
NOT00000207,ALU00035,Ciências,4º Bimestre,8.3
NOT00000208,ALU00035,História,4º Bimestre,8.1
NOT00000209,ALU00035,Geografia,4º Bimestre,6.4
NOT00000210,ALU00035,Inglês,4º Bimestre,7.2
NOT00000211,ALU00036,Português,4º Bimestre,6.1
NOT00000212,ALU00036,Matemática,2º Bimestre,8.5
NOT00000213,ALU00036,Ciências,3º Bimestre,7.7
NOT00000214,ALU00036,História,3º Bimestre,6.9
NOT00000215,ALU00036,Geografia,2º Bimestre,9.5
NOT00000216,ALU00036,Inglês,3º Bimestre,6.0
NOT00000217,ALU00037,Português,2º Bimestre,9.3
NOT00000218,ALU00037,Matemática,1º Bimestre,6.6
NOT00000219,ALU00037,Ciências,1º Bimestre,7.6
NOT00000220,ALU00037,História,3º Bimestre,7.1
NOT00000221,ALU00037,Geografia,1º Bimestre,7.3
NOT00000222,ALU00037,Inglês,1º Bimestre,5.7
NOT00000223,ALU00038,Português,1º Bimestre,7.7
NOT00000224,ALU00038,Matemática,1º Bimestre,8.2
NOT00000225,ALU00038,Ciências,4º Bimestre,6.8
NOT00000226,ALU00038,História,3º Bimestre,8.6
NOT00000227,ALU00038,Geografia,4º Bimestre,6.6
NOT00000228,ALU00038,Inglês,1º Bimestre,9.7
NOT00000229,ALU00039,Português,3º Bimestre,8.5
NOT00000230,ALU00039,Matemática,2º Bimestre,8.5
NOT00000231,ALU00039,Ciências,3º Bimestre,7.3
NOT00000232,ALU00039,História,4º Bimestre,8.0
NOT00000233,ALU00039,Geografia,3º Bimestre,8.5
NOT00000234,ALU00039,Inglês,1º Bimestre,8.5
NOT00000235,ALU00040,Português,3º Bimestre,9.3
NOT00000236,ALU00040,Matemática,4º Bimestre,7.2
NOT00000237,ALU00040,Ciências,3º Bimestre,7.8
NOT00000238,ALU00040,História,3º Bimestre,9.2
NOT00000239,ALU00040,Geografia,2º Bimestre,9.4
NOT00000240,ALU00040,Inglês,4º Bimestre,9.1
NOT00000241,ALU00041,Português,2º Bimestre,7.5
NOT00000242,ALU00041,Matemática,4º Bimestre,5.6
NOT00000243,ALU00041,Ciências,1º Bimestre,7.1
NOT00000244,ALU00041,História,4º Bimestre,8.8
NOT00000245,ALU00041,Geografia,2º Bimestre,7.1
NOT00000246,ALU00041,Inglês,2º Bimestre,6.1
NOT00000247,ALU00042,Português,2º Bimestre,8.0
NOT00000248,ALU00042,Matemática,3º Bimestre,9.7
NOT00000249,ALU00042,Ciências,3º Bimestre,9.6
NOT00000250,ALU00042,História,4º Bimestre,6.6
NOT00000251,ALU00042,Geografia,4º Bimestre,6.3
NOT00000252,ALU00042,Inglês,1º Bimestre,8.1
NOT00000253,ALU00043,Português,1º Bimestre,5.6
NOT00000254,ALU00043,Matemática,1º Bimestre,5.7
NOT00000255,ALU00043,Ciências,3º Bimestre,6.8
NOT00000256,ALU00043,História,3º Bimestre,6.5
NOT00000257,ALU00043,Geografia,2º Bimestre,8.6
NOT00000258,ALU00043,Inglês,1º Bimestre,8.4
NOT00000259,ALU00044,Português,1º Bimestre,6.7
NOT00000260,ALU00044,Matemática,1º Bimestre,8.0
NOT00000261,ALU00044,Ciências,3º Bimestre,8.5
NOT00000262,ALU00044,História,1º Bimestre,6.2
NOT00000263,ALU00044,Geografia,1º Bimestre,5.6
NOT00000264,ALU00044,Inglês,4º Bimestre,7.8
NOT00000265,ALU00045,Português,4º Bimestre,6.2
NOT00000266,ALU00045,Matemática,4º Bimestre,9.4
NOT00000267,ALU00045,Ciências,1º Bimestre,5.8
NOT00000268,ALU00045,História,2º Bimestre,5.5
NOT00000269,ALU00045,Geografia,2º Bimestre,8.1
NOT00000270,ALU00045,Inglês,3º Bimestre,8.1
NOT00000271,ALU00046,Português,3º Bimestre,9.7
NOT00000272,ALU00046,Matemática,3º Bimestre,7.9
NOT00000273,ALU00046,Ciências,2º Bimestre,8.7
NOT00000274,ALU00046,História,2º Bimestre,9.2
NOT00000275,ALU00046,Geografia,2º Bimestre,7.9
NOT00000276,ALU00046,Inglês,3º Bimestre,9.7
NOT00000277,ALU00047,Português,3º Bimestre,8.3
NOT00000278,ALU00047,Matemática,1º Bimestre,8.0
NOT00000279,ALU00047,Ciências,4º Bimestre,7.2
NOT00000280,ALU00047,História,3º Bimestre,6.2
NOT00000281,ALU00047,Geografia,3º Bimestre,6.9
NOT00000282,ALU00047,Inglês,1º Bimestre,5.9
NOT00000283,ALU00048,Português,1º Bimestre,7.8
NOT00000284,ALU00048,Matemática,1º Bimestre,6.8
NOT00000285,ALU00048,Ciências,3º Bimestre,7.8
NOT00000286,ALU00048,História,3º Bimestre,5.5
NOT00000287,ALU00048,Geografia,2º Bimestre,5.9
NOT00000288,ALU00048,Inglês,2º Bimestre,7.8
NOT00000289,ALU00049,Português,3º Bimestre,7.7
NOT00000290,ALU00049,Matemática,4º Bimestre,7.2
NOT00000291,ALU00049,Ciências,3º Bimestre,6.7
NOT00000292,ALU00049,História,4º Bimestre,9.2
NOT00000293,ALU00049,Geografia,1º Bimestre,9.6
NOT00000294,ALU00049,Inglês,1º Bimestre,6.0
NOT00000295,ALU00050,Português,2º Bimestre,7.9
NOT00000296,ALU00050,Matemática,2º Bimestre,8.1
NOT00000297,ALU00050,Ciências,1º Bimestre,5.9
NOT00000298,ALU00050,História,4º Bimestre,7.8
NOT00000299,ALU00050,Geografia,2º Bimestre,6.0
NOT00000300,ALU00050,Inglês,3º Bimestre,8.9
NOT00000301,ALU00051,Português,2º Bimestre,6.2
NOT00000302,ALU00051,Matemática,3º Bimestre,7.1
NOT00000303,ALU00051,Ciências,2º Bimestre,8.5
NOT00000304,ALU00051,História,4º Bimestre,6.8
NOT00000305,ALU00051,Geografia,2º Bimestre,5.8
NOT00000306,ALU00051,Inglês,2º Bimestre,9.2
NOT00000307,ALU00052,Português,1º Bimestre,6.1
NOT00000308,ALU00052,Matemática,2º Bimestre,6.1
NOT00000309,ALU00052,Ciências,2º Bimestre,8.6
NOT00000310,ALU00052,História,3º Bimestre,8.3
NOT00000311,ALU00052,Geografia,1º Bimestre,7.9
NOT00000312,ALU00052,Inglês,1º Bimestre,8.1
NOT00000313,ALU00053,Português,3º Bimestre,8.3
NOT00000314,ALU00053,Matemática,4º Bimestre,6.1
NOT00000315,ALU00053,Ciências,1º Bimestre,7.2
NOT00000316,ALU00053,História,4º Bimestre,7.0
NOT00000317,ALU00053,Geografia,4º Bimestre,7.4
NOT00000318,ALU00053,Inglês,3º Bimestre,5.6
NOT00000319,ALU00054,Português,1º Bimestre,6.7
NOT00000320,ALU00054,Matemática,3º Bimestre,6.6
NOT00000321,ALU00054,Ciências,1º Bimestre,9.3
NOT00000322,ALU00054,História,1º Bimestre,6.2
NOT00000323,ALU00054,Geografia,1º Bimestre,8.9
NOT00000324,ALU00054,Inglês,4º Bimestre,7.3
NOT00000325,ALU00055,Português,1º Bimestre,5.6
NOT00000326,ALU00055,Matemática,2º Bimestre,7.1
NOT00000327,ALU00055,Ciências,1º Bimestre,7.1
NOT00000328,ALU00055,História,2º Bimestre,7.7
NOT00000329,ALU00055,Geografia,1º Bimestre,8.8
NOT00000330,ALU00055,Inglês,2º Bimestre,9.6
NOT00000331,ALU00056,Português,4º Bimestre,8.4
NOT00000332,ALU00056,Matemática,2º Bimestre,8.4
NOT00000333,ALU00056,Ciências,3º Bimestre,8.2
NOT00000334,ALU00056,História,2º Bimestre,9.7
NOT00000335,ALU00056,Geografia,2º Bimestre,7.5
NOT00000336,ALU00056,Inglês,3º Bimestre,8.9
NOT00000337,ALU00057,Português,4º Bimestre,8.6
NOT00000338,ALU00057,Matemática,1º Bimestre,6.9
NOT00000339,ALU00057,Ciências,2º Bimestre,7.2
NOT00000340,ALU00057,História,2º Bimestre,7.3
NOT00000341,ALU00057,Geografia,3º Bimestre,7.0
NOT00000342,ALU00057,Inglês,2º Bimestre,8.1
NOT00000343,ALU00058,Português,4º Bimestre,6.8
NOT00000344,ALU00058,Matemática,3º Bimestre,6.5
NOT00000345,ALU00058,Ciências,2º Bimestre,6.3
NOT00000346,ALU00058,História,1º Bimestre,7.6
NOT00000347,ALU00058,Geografia,2º Bimestre,7.7
NOT00000348,ALU00058,Inglês,2º Bimestre,8.7
NOT00000349,ALU00059,Português,4º Bimestre,6.1
NOT00000350,ALU00059,Matemática,1º Bimestre,8.6
NOT00000351,ALU00059,Ciências,1º Bimestre,9.3
NOT00000352,ALU00059,História,3º Bimestre,7.7
NOT00000353,ALU00059,Geografia,3º Bimestre,9.3
NOT00000354,ALU00059,Inglês,1º Bimestre,7.1
NOT00000355,ALU00060,Português,4º Bimestre,9.6
NOT00000356,ALU00060,Matemática,1º Bimestre,9.6
NOT00000357,ALU00060,Ciências,1º Bimestre,9.7
NOT00000358,ALU00060,História,3º Bimestre,6.8
NOT00000359,ALU00060,Geografia,2º Bimestre,5.8
NOT00000360,ALU00060,Inglês,3º Bimestre,5.8
NOT00000361,ALU00061,Português,3º Bimestre,9.1
NOT00000362,ALU00061,Matemática,3º Bimestre,6.4
NOT00000363,ALU00061,Ciências,3º Bimestre,9.5
NOT00000364,ALU00061,História,4º Bimestre,9.3
NOT00000365,ALU00061,Geografia,4º Bimestre,5.7
NOT00000366,ALU00061,Inglês,2º Bimestre,6.6
NOT00000367,ALU00062,Português,1º Bimestre,9.4
NOT00000368,ALU00062,Matemática,4º Bimestre,9.0
NOT00000369,ALU00062,Ciências,4º Bimestre,8.9
NOT00000370,ALU00062,História,4º Bimestre,6.2
NOT00000371,ALU00062,Geografia,2º Bimestre,9.2
NOT00000372,ALU00062,Inglês,3º Bimestre,6.3
NOT00000373,ALU00063,Português,2º Bimestre,7.0
NOT00000374,ALU00063,Matemática,1º Bimestre,7.2
NOT00000375,ALU00063,Ciências,3º Bimestre,5.7
NOT00000376,ALU00063,História,3º Bimestre,5.6
NOT00000377,ALU00063,Geografia,4º Bimestre,7.6
NOT00000378,ALU00063,Inglês,1º Bimestre,9.3
NOT00000379,ALU00064,Português,2º Bimestre,8.5
NOT00000380,ALU00064,Matemática,3º Bimestre,6.0
NOT00000381,ALU00064,Ciências,2º Bimestre,5.5
NOT00000382,ALU00064,História,1º Bimestre,7.2
NOT00000383,ALU00064,Geografia,4º Bimestre,9.3
NOT00000384,ALU00064,Inglês,3º Bimestre,9.0
NOT00000385,ALU00065,Português,2º Bimestre,8.7
NOT00000386,ALU00065,Matemática,1º Bimestre,6.2
NOT00000387,ALU00065,Ciências,1º Bimestre,5.9
NOT00000388,ALU00065,História,1º Bimestre,7.7
NOT00000389,ALU00065,Geografia,1º Bimestre,6.6
NOT00000390,ALU00065,Inglês,4º Bimestre,6.4
NOT00000391,ALU00066,Português,2º Bimestre,7.0
NOT00000392,ALU00066,Matemática,3º Bimestre,5.6
NOT00000393,ALU00066,Ciências,3º Bimestre,7.8
NOT00000394,ALU00066,História,4º Bimestre,7.7
NOT00000395,ALU00066,Geografia,4º Bimestre,5.8
NOT00000396,ALU00066,Inglês,3º Bimestre,9.3
NOT00000397,ALU00067,Português,3º Bimestre,7.0
NOT00000398,ALU00067,Matemática,2º Bimestre,6.1
NOT00000399,ALU00067,Ciências,2º Bimestre,9.4
NOT00000400,ALU00067,História,1º Bimestre,6.0
NOT00000401,ALU00067,Geografia,2º Bimestre,6.2
NOT00000402,ALU00067,Inglês,3º Bimestre,6.6
NOT00000403,ALU00068,Português,3º Bimestre,6.8
NOT00000404,ALU00068,Matemática,4º Bimestre,9.6
NOT00000405,ALU00068,Ciências,3º Bimestre,9.0
NOT00000406,ALU00068,História,3º Bimestre,6.5
NOT00000407,ALU00068,Geografia,2º Bimestre,8.0
NOT00000408,ALU00068,Inglês,1º Bimestre,5.7
NOT00000409,ALU00069,Português,1º Bimestre,7.3
NOT00000410,ALU00069,Matemática,3º Bimestre,7.7
NOT00000411,ALU00069,Ciências,1º Bimestre,7.2
NOT00000412,ALU00069,História,1º Bimestre,8.0
NOT00000413,ALU00069,Geografia,3º Bimestre,8.3
NOT00000414,ALU00069,Inglês,1º Bimestre,8.3
NOT00000415,ALU00070,Português,3º Bimestre,9.6
NOT00000416,ALU00070,Matemática,2º Bimestre,9.1
NOT00000417,ALU00070,Ciências,2º Bimestre,9.1
NOT00000418,ALU00070,História,4º Bimestre,7.3
NOT00000419,ALU00070,Geografia,1º Bimestre,9.7
NOT00000420,ALU00070,Inglês,1º Bimestre,7.5
NOT00000421,ALU00071,Português,2º Bimestre,9.1
NOT00000422,ALU00071,Matemática,1º Bimestre,8.7
NOT00000423,ALU00071,Ciências,2º Bimestre,7.9
NOT00000424,ALU00071,História,2º Bimestre,6.5
NOT00000425,ALU00071,Geografia,3º Bimestre,9.2
NOT00000426,ALU00071,Inglês,3º Bimestre,6.7
NOT00000427,ALU00072,Português,4º Bimestre,6.5
NOT00000428,ALU00072,Matemática,4º Bimestre,6.3
NOT00000429,ALU00072,Ciências,3º Bimestre,9.6
NOT00000430,ALU00072,História,1º Bimestre,8.8
NOT00000431,ALU00072,Geografia,2º Bimestre,6.7
NOT00000432,ALU00072,Inglês,1º Bimestre,7.7
NOT00000433,ALU00073,Português,2º Bimestre,5.9
NOT00000434,ALU00073,Matemática,3º Bimestre,5.9
NOT00000435,ALU00073,Ciências,1º Bimestre,9.1
NOT00000436,ALU00073,História,1º Bimestre,7.9
NOT00000437,ALU00073,Geografia,4º Bimestre,8.0
NOT00000438,ALU00073,Inglês,3º Bimestre,5.5
NOT00000439,ALU00074,Português,3º Bimestre,8.4
NOT00000440,ALU00074,Matemática,1º Bimestre,9.3
NOT00000441,ALU00074,Ciências,4º Bimestre,7.5
NOT00000442,ALU00074,História,3º Bimestre,9.1
NOT00000443,ALU00074,Geografia,4º Bimestre,6.7
NOT00000444,ALU00074,Inglês,4º Bimestre,7.3
NOT00000445,ALU00075,Português,3º Bimestre,9.7
NOT00000446,ALU00075,Matemática,2º Bimestre,5.9
NOT00000447,ALU00075,Ciências,2º Bimestre,6.3
NOT00000448,ALU00075,História,4º Bimestre,8.2
NOT00000449,ALU00075,Geografia,2º Bimestre,7.8
NOT00000450,ALU00075,Inglês,1º Bimestre,6.8
NOT00000451,ALU00076,Português,3º Bimestre,6.1
NOT00000452,ALU00076,Matemática,4º Bimestre,5.9
NOT00000453,ALU00076,Ciências,4º Bimestre,6.9
NOT00000454,ALU00076,História,1º Bimestre,9.2
NOT00000455,ALU00076,Geografia,4º Bimestre,9.4
NOT00000456,ALU00076,Inglês,1º Bimestre,7.6
NOT00000457,ALU00077,Português,1º Bimestre,9.4
NOT00000458,ALU00077,Matemática,2º Bimestre,7.2
NOT00000459,ALU00077,Ciências,1º Bimestre,6.7
NOT00000460,ALU00077,História,3º Bimestre,9.7
NOT00000461,ALU00077,Geografia,4º Bimestre,6.2
NOT00000462,ALU00077,Inglês,4º Bimestre,8.8
NOT00000463,ALU00078,Português,2º Bimestre,7.7
NOT00000464,ALU00078,Matemática,2º Bimestre,9.7
NOT00000465,ALU00078,Ciências,3º Bimestre,7.7
NOT00000466,ALU00078,História,3º Bimestre,8.3
NOT00000467,ALU00078,Geografia,3º Bimestre,7.0
NOT00000468,ALU00078,Inglês,2º Bimestre,6.1
NOT00000469,ALU00079,Português,3º Bimestre,5.8
NOT00000470,ALU00079,Matemática,4º Bimestre,6.5
NOT00000471,ALU00079,Ciências,1º Bimestre,9.8
NOT00000472,ALU00079,História,3º Bimestre,6.5
NOT00000473,ALU00079,Geografia,1º Bimestre,8.7
NOT00000474,ALU00079,Inglês,1º Bimestre,7.6
NOT00000475,ALU00080,Português,2º Bimestre,9.1
NOT00000476,ALU00080,Matemática,3º Bimestre,9.8
NOT00000477,ALU00080,Ciências,3º Bimestre,9.2
NOT00000478,ALU00080,História,4º Bimestre,6.6
