id_frequencia,id_aluno,competencia,percentual_frequencia
FREQ00000117,ALU00010,2026-09-01,88.43
FREQ00000118,ALU00010,2026-10-01,95.73
FREQ00000119,ALU00010,2026-11-01,95.36
FREQ00000120,ALU00010,2026-12-01,87.3
FREQ00000121,ALU00011,2026-01-01,91.28
FREQ00000122,ALU00011,2026-02-01,89.21
FREQ00000123,ALU00011,2026-03-01,91.67
FREQ00000124,ALU00011,2026-04-01,94.48
FREQ00000125,ALU00011,2026-05-01,93.34
FREQ00000126,ALU00011,2026-06-01,97.68
FREQ00000127,ALU00011,2026-07-01,96.65
FREQ00000128,ALU00011,2026-08-01,93.64
FREQ00000129,ALU00011,2026-09-01,94.54
FREQ00000130,ALU00011,2026-10-01,92.17
FREQ00000131,ALU00011,2026-11-01,94.93
FREQ00000132,ALU00011,2026-12-01,95.74
FREQ00000133,ALU00012,2026-01-01,87.15
FREQ00000134,ALU00012,2026-02-01,90.0
FREQ00000135,ALU00012,2026-03-01,92.93
FREQ00000136,ALU00012,2026-04-01,88.49
FREQ00000137,ALU00012,2026-05-01,91.24
FREQ00000138,ALU00012,2026-06-01,92.62
FREQ00000139,ALU00012,2026-07-01,98.98
FREQ00000140,ALU00012,2026-08-01,94.94
FREQ00000141,ALU00012,2026-09-01,98.18
FREQ00000142,ALU00012,2026-10-01,95.34
FREQ00000143,ALU00012,2026-11-01,90.88
FREQ00000144,ALU00012,2026-12-01,95.78
FREQ00000145,ALU00013,2026-01-01,93.28
FREQ00000146,ALU00013,2026-02-01,98.97
FREQ00000147,ALU00013,2026-03-01,96.69
FREQ00000148,ALU00013,2026-04-01,96.73
FREQ00000149,ALU00013,2026-05-01,92.02
FREQ00000150,ALU00013,2026-06-01,97.97
FREQ00000151,ALU00013,2026-07-01,91.96
FREQ00000152,ALU00013,2026-08-01,90.94
FREQ00000153,ALU00013,2026-09-01,98.76
FREQ00000154,ALU00013,2026-10-01,97.07
FREQ00000155,ALU00013,2026-11-01,98.22
FREQ00000156,ALU00013,2026-12-01,90.33
FREQ00000157,ALU00014,2026-01-01,95.61
FREQ00000158,ALU00014,2026-02-01,95.0
FREQ00000159,ALU00014,2026-03-01,96.58
FREQ00000160,ALU00014,2026-04-01,95.15
FREQ00000161,ALU00014,2026-05-01,92.56
FREQ00000162,ALU00014,2026-06-01,93.63
FREQ00000163,ALU00014,2026-07-01,97.98
FREQ00000164,ALU00014,2026-08-01,89.88
FREQ00000165,ALU00014,2026-09-01,97.02
FREQ00000166,ALU00014,2026-10-01,98.97
FREQ00000167,ALU00014,2026-11-01,91.76
FREQ00000168,ALU00014,2026-12-01,88.59
FREQ00000169,ALU00015,2026-01-01,88.52
FREQ00000170,ALU00015,2026-02-01,89.59
FREQ00000171,ALU00015,2026-03-01,89.26
FREQ00000172,ALU00015,2026-04-01,96.99
FREQ00000173,ALU00015,2026-05-01,91.67
FREQ00000174,ALU00015,2026-06-01,93.68
FREQ00000175,ALU00015,2026-07-01,93.62
FREQ00000176,ALU00015,2026-08-01,92.43
FREQ00000177,ALU00015,2026-09-01,98.57
FREQ00000178,ALU00015,2026-10-01,94.93
FREQ00000179,ALU00015,2026-11-01,95.07
FREQ00000180,ALU00015,2026-12-01,93.79
FREQ00000181,ALU00016,2026-01-01,90.58
FREQ00000182,ALU00016,2026-02-01,94.96
FREQ00000183,ALU00016,2026-03-01,95.68
FREQ00000184,ALU00016,2026-04-01,88.91
FREQ00000185,ALU00016,2026-05-01,93.44
FREQ00000186,ALU00016,2026-06-01,90.11
FREQ00000187,ALU00016,2026-07-01,95.47
FREQ00000188,ALU00016,2026-08-01,94.02
FREQ00000189,ALU00016,2026-09-01,97.43
FREQ00000190,ALU00016,2026-10-01,97.93
FREQ00000191,ALU00016,2026-11-01,96.23
FREQ00000192,ALU00016,2026-12-01,92.99
FREQ00000193,ALU00017,2026-01-01,92.96
FREQ00000194,ALU00017,2026-02-01,92.96
FREQ00000195,ALU00017,2026-03-01,96.26
FREQ00000196,ALU00017,2026-04-01,91.15
FREQ00000197,ALU00017,2026-05-01,98.32
FREQ00000198,ALU00017,2026-06-01,97.25
FREQ00000199,ALU00017,2026-07-01,94.23
FREQ00000200,ALU00017,2026-08-01,95.01
FREQ00000201,ALU00017,2026-09-01,94.15
FREQ00000202,ALU00017,2026-10-01,97.52
FREQ00000203,ALU00017,2026-11-01,96.61
FREQ00000204,ALU00017,2026-12-01,90.9
FREQ00000205,ALU00018,2026-01-01,94.24
FREQ00000206,ALU00018,2026-02-01,96.1
FREQ00000207,ALU00018,2026-03-01,95.87
FREQ00000208,ALU00018,2026-04-01,93.06
FREQ00000209,ALU00018,2026-05-01,89.69
FREQ00000210,ALU00018,2026-06-01,89.43
FREQ00000211,ALU00018,2026-07-01,96.45
FREQ00000212,ALU00018,2026-08-01,91.58
FREQ00000213,ALU00018,2026-09-01,92.05
FREQ00000214,ALU00018,2026-10-01,95.72
FREQ00000215,ALU00018,2026-11-01,87.95
FREQ00000216,ALU00018,2026-12-01,91.59
FREQ00000217,ALU00019,2026-01-01,95.46
FREQ00000218,ALU00019,2026-02-01,94.86
FREQ00000219,ALU00019,2026-03-01,98.46
FREQ00000220,ALU00019,2026-04-01,90.23
FREQ00000221,ALU00019,2026-05-01,91.1
FREQ00000222,ALU00019,2026-06-01,88.74
FREQ00000223,ALU00019,2026-07-01,91.36
FREQ00000224,ALU00019,2026-08-01,95.71
FREQ00000225,ALU00019,2026-09-01,95.44
FREQ00000226,ALU00019,2026-10-01,90.86
FREQ00000227,ALU00019,2026-11-01,98.9
FREQ00000228,ALU00019,2026-12-01,94.66
FREQ00000229,ALU00020,2026-01-01,90.0
FREQ00000230,ALU00020,2026-02-01,94.48
FREQ00000231,ALU00020,2026-03-01,97.23
FREQ00000232,ALU00020,2026-04-01,96.78
FREQ00000233,ALU00020,2026-05-01,89.36
FREQ00000234,ALU00020,2026-06-01,97.25
FREQ00000235,ALU00020,2026-07-01,91.49
FREQ00000236,ALU00020,2026-08-01,90.02
FREQ00000237,ALU00020,2026-09-01,94.19
FREQ00000238,ALU00020,2026-10-01,93.51
FREQ00000239,ALU00020,2026-11-01,95.06
FREQ00000240,ALU00020,2026-12-01,97.94
FREQ00000241,ALU00021,2026-01-01,88.39
FREQ00000242,ALU00021,2026-02-01,87.82
FREQ00000243,ALU00021,2026-03-01,89.75
FREQ00000244,ALU00021,2026-04-01,91.24
FREQ00000245,ALU00021,2026-05-01,92.81
FREQ00000246,ALU00021,2026-06-01,92.7
FREQ00000247,ALU00021,2026-07-01,88.6
FREQ00000248,ALU00021,2026-08-01,93.59
FREQ00000249,ALU00021,2026-09-01,90.53
FREQ00000250,ALU00021,2026-10-01,89.61
FREQ00000251,ALU00021,2026-11-01,91.84
FREQ00000252,ALU00021,2026-12-01,91.13
FREQ00000253,ALU00022,2026-01-01,98.84
FREQ00000254,ALU00022,2026-02-01,94.76
FREQ00000255,ALU00022,2026-03-01,98.59
FREQ00000256,ALU00022,2026-04-01,93.04
FREQ00000257,ALU00022,2026-05-01,88.6
FREQ00000258,ALU00022,2026-06-01,90.14
FREQ00000259,ALU00022,2026-07-01,96.45
FREQ00000260,ALU00022,2026-08-01,96.61
FREQ00000261,ALU00022,2026-09-01,95.19
FREQ00000262,ALU00022,2026-10-01,89.78
FREQ00000263,ALU00022,2026-11-01,95.77
FREQ00000264,ALU00022,2026-12-01,93.54
FREQ00000265,ALU00023,2026-01-01,92.12
FREQ00000266,ALU00023,2026-02-01,94.78
FREQ00000267,ALU00023,2026-03-01,94.15
FREQ00000268,ALU00023,2026-04-01,90.51
FREQ00000269,ALU00023,2026-05-01,93.46
FREQ00000270,ALU00023,2026-06-01,94.62
FREQ00000271,ALU00023,2026-07-01,94.75
FREQ00000272,ALU00023,2026-08-01,89.48
FREQ00000273,ALU00023,2026-09-01,87.07
FREQ00000274,ALU00023,2026-10-01,90.83
FREQ00000275,ALU00023,2026-11-01,87.69
FREQ00000276,ALU00023,2026-12-01,90.09
FREQ00000277,ALU00024,2026-01-01,90.06
FREQ00000278,ALU00024,2026-02-01,94.26
FREQ00000279,ALU00024,2026-03-01,93.86
FREQ00000280,ALU00024,2026-04-01,98.84
FREQ00000281,ALU00024,2026-05-01,90.93
FREQ00000282,ALU00024,2026-06-01,97.07
FREQ00000283,ALU00024,2026-07-01,95.3
FREQ00000284,ALU00024,2026-08-01,93.69
FREQ00000285,ALU00024,2026-09-01,87.07
FREQ00000286,ALU00024,2026-10-01,95.22
FREQ00000287,ALU00024,2026-11-01,87.32
FREQ00000288,ALU00024,2026-12-01,98.45
FREQ00000289,ALU00025,2026-01-01,87.92
FREQ00000290,ALU00025,2026-02-01,97.76
FREQ00000291,ALU00025,2026-03-01,97.68
FREQ00000292,ALU00025,2026-04-01,87.57
FREQ00000293,ALU00025,2026-05-01,92.29
FREQ00000294,ALU00025,2026-06-01,88.5
FREQ00000295,ALU00025,2026-07-01,96.31
FREQ00000296,ALU00025,2026-08-01,88.79
FREQ00000297,ALU00025,2026-09-01,87.8
FREQ00000298,ALU00025,2026-10-01,97.38
FREQ00000299,ALU00025,2026-11-01,94.68
FREQ00000300,ALU00025,2026-12-01,88.42
FREQ00000301,ALU00026,2026-01-01,98.2
FREQ00000302,ALU00026,2026-02-01,98.26
FREQ00000303,ALU00026,2026-03-01,95.82
FREQ00000304,ALU00026,2026-04-01,87.89
FREQ00000305,ALU00026,2026-05-01,93.16
FREQ00000306,ALU00026,2026-06-01,89.54
FREQ00000307,ALU00026,2026-07-01,94.09
FREQ00000308,ALU00026,2026-08-01,87.62
FREQ00000309,ALU00026,2026-09-01,92.37
FREQ00000310,ALU00026,2026-10-01,93.91
FREQ00000311,ALU00026,2026-11-01,93.1
FREQ00000312,ALU00026,2026-12-01,91.59
FREQ00000313,ALU00027,2026-01-01,89.0
FREQ00000314,ALU00027,2026-02-01,96.28
FREQ00000315,ALU00027,2026-03-01,96.29
FREQ00000316,ALU00027,2026-04-01,89.97
FREQ00000317,ALU00027,2026-05-01,94.65
FREQ00000318,ALU00027,2026-06-01,88.4
FREQ00000319,ALU00027,2026-07-01,87.22
FREQ00000320,ALU00027,2026-08-01,96.8
FREQ00000321,ALU00027,2026-09-01,92.52
FREQ00000322,ALU00027,2026-10-01,96.05
FREQ00000323,ALU00027,2026-11-01,96.56
FREQ00000324,ALU00027,2026-12-01,95.31
FREQ00000325,ALU00028,2026-01-01,88.82
FREQ00000326,ALU00028,2026-02-01,97.16
FREQ00000327,ALU00028,2026-03-01,90.37
FREQ00000328,ALU00028,2026-04-01,97.73
FREQ00000329,ALU00028,2026-05-01,87.07
FREQ00000330,ALU00028,2026-06-01,97.42
FREQ00000331,ALU00028,2026-07-01,89.57
FREQ00000332,ALU00028,2026-08-01,92.59
FREQ00000333,ALU00028,2026-09-01,91.93
FREQ00000334,ALU00028,2026-10-01,96.82
FREQ00000335,ALU00028,2026-11-01,89.6
FREQ00000336,ALU00028,2026-12-01,97.55
FREQ00000337,ALU00029,2026-01-01,92.25
FREQ00000338,ALU00029,2026-02-01,87.05
FREQ00000339,ALU00029,2026-03-01,95.7
FREQ00000340,ALU00029,2026-04-01,94.47
FREQ00000341,ALU00029,2026-05-01,92.78
FREQ00000342,ALU00029,2026-06-01,95.35
FREQ00000343,ALU00029,2026-07-01,98.87
FREQ00000344,ALU00029,2026-08-01,98.66
FREQ00000345,ALU00029,2026-09-01,93.84
FREQ00000346,ALU00029,2026-10-01,96.79
FREQ00000347,ALU00029,2026-11-01,97.44
FREQ00000348,ALU00029,2026-12-01,90.02
FREQ00000349,ALU00030,2026-01-01,93.45
FREQ00000350,ALU00030,2026-02-01,98.09
FREQ00000351,ALU00030,2026-03-01,93.92
FREQ00000352,ALU00030,2026-04-01,93.87
FREQ00000353,ALU00030,2026-05-01,92.67
FREQ00000354,ALU00030,2026-06-01,97.5
FREQ00000355,ALU00030,2026-07-01,93.62
FREQ00000356,ALU00030,2026-08-01,96.04
FREQ00000357,ALU00030,2026-09-01,87.91
FREQ00000358,ALU00030,2026-10-01,91.39
FREQ00000359,ALU00030,2026-11-01,98.61
FREQ00000360,ALU00030,2026-12-01,93.8
FREQ00000361,ALU00031,2026-01-01,94.94
FREQ00000362,ALU00031,2026-02-01,94.22
FREQ00000363,ALU00031,2026-03-01,98.72
FREQ00000364,ALU00031,2026-04-01,96.8
FREQ00000365,ALU00031,2026-05-01,96.95
FREQ00000366,ALU00031,2026-06-01,91.78
FREQ00000367,ALU00031,2026-07-01,90.27
FREQ00000368,ALU00031,2026-08-01,87.08
FREQ00000369,ALU00031,2026-09-01,92.0
FREQ00000370,ALU00031,2026-10-01,93.29
FREQ00000371,ALU00031,2026-11-01,91.11
FREQ00000372,ALU00031,2026-12-01,87.78
FREQ00000373,ALU00032,2026-01-01,88.85
FREQ00000374,ALU00032,2026-02-01,97.36
FREQ00000375,ALU00032,2026-03-01,88.39
FREQ00000376,ALU00032,2026-04-01,91.66
FREQ00000377,ALU00032,2026-05-01,97.04
FREQ00000378,ALU00032,2026-06-01,92.54
FREQ00000379,ALU00032,2026-07-01,97.46
FREQ00000380,ALU00032,2026-08-01,91.23
FREQ00000381,ALU00032,2026-09-01,97.02
FREQ00000382,ALU00032,2026-10-01,88.66
FREQ00000383,ALU00032,2026-11-01,93.93
FREQ00000384,ALU00032,2026-12-01,88.59
FREQ00000385,ALU00033,2026-01-01,96.9
FREQ00000386,ALU00033,2026-02-01,95.33
FREQ00000387,ALU00033,2026-03-01,95.6
FREQ00000388,ALU00033,2026-04-01,92.83
FREQ00000389,ALU00033,2026-05-01,90.86
FREQ00000390,ALU00033,2026-06-01,91.46
FREQ00000391,ALU00033,2026-07-01,89.25
FREQ00000392,ALU00033,2026-08-01,95.14
FREQ00000393,ALU00033,2026-09-01,93.59
FREQ00000394,ALU00033,2026-10-01,98.83
FREQ00000395,ALU00033,2026-11-01,87.03
FREQ00000396,ALU00033,2026-12-01,95.2
FREQ00000397,ALU00034,2026-01-01,94.56
FREQ00000398,ALU00034,2026-02-01,98.81
FREQ00000399,ALU00034,2026-03-01,98.99
FREQ00000400,ALU00034,2026-04-01,87.76
FREQ00000401,ALU00034,2026-05-01,91.19
FREQ00000402,ALU00034,2026-06-01,90.08
FREQ00000403,ALU00034,2026-07-01,91.01
FREQ00000404,ALU00034,2026-08-01,94.09
FREQ00000405,ALU00034,2026-09-01,93.46
FREQ00000406,ALU00034,2026-10-01,91.38
FREQ00000407,ALU00034,2026-11-01,90.32
FREQ00000408,ALU00034,2026-12-01,92.38
FREQ00000409,ALU00035,2026-01-01,94.95
FREQ00000410,ALU00035,2026-02-01,96.39
FREQ00000411,ALU00035,2026-03-01,90.24
FREQ00000412,ALU00035,2026-04-01,91.65
FREQ00000413,ALU00035,2026-05-01,92.04
FREQ00000414,ALU00035,2026-06-01,98.59
FREQ00000415,ALU00035,2026-07-01,91.06
FREQ00000416,ALU00035,2026-08-01,97.19
FREQ00000417,ALU00035,2026-09-01,87.5
FREQ00000418,ALU00035,2026-10-01,97.54
FREQ00000419,ALU00035,2026-11-01,91.78
FREQ00000420,ALU00035,2026-12-01,98.21
FREQ00000421,ALU00036,2026-01-01,94.8
FREQ00000422,ALU00036,2026-02-01,92.18
FREQ00000423,ALU00036,2026-03-01,91.44
FREQ00000424,ALU00036,2026-04-01,98.55
FREQ00000425,ALU00036,2026-05-01,94.74
FREQ00000426,ALU00036,2026-06-01,88.86
FREQ00000427,ALU00036,2026-07-01,88.08
FREQ00000428,ALU00036,2026-08-01,94.41
FREQ00000429,ALU00036,2026-09-01,95.4
FREQ00000430,ALU00036,2026-10-01,97.98
FREQ00000431,ALU00036,2026-11-01,92.39
FREQ00000432,ALU00036,2026-12-01,91.2
FREQ00000433,ALU00037,2026-01-01,94.35
FREQ00000434,ALU00037,2026-02-01,91.45
FREQ00000435,ALU00037,2026-03-01,97.65
FREQ00000436,ALU00037,2026-04-01,88.03
FREQ00000437,ALU00037,2026-05-01,94.14
FREQ00000438,ALU00037,2026-06-01,90.39
FREQ00000439,ALU00037,2026-07-01,90.63
FREQ00000440,ALU00037,2026-08-01,98.01
FREQ00000441,ALU00037,2026-09-01,92.59
FREQ00000442,ALU00037,2026-10-01,88.16
FREQ00000443,ALU00037,2026-11-01,96.4
FREQ00000444,ALU00037,2026-12-01,93.64
FREQ00000445,ALU00038,2026-01-01,93.71
FREQ00000446,ALU00038,2026-02-01,95.82
FREQ00000447,ALU00038,2026-03-01,89.66
FREQ00000448,ALU00038,2026-04-01,89.41
FREQ00000449,ALU00038,2026-05-01,87.98
FREQ00000450,ALU00038,2026-06-01,94.99
FREQ00000451,ALU00038,2026-07-01,93.19
FREQ00000452,ALU00038,2026-08-01,91.08
FREQ00000453,ALU00038,2026-09-01,91.14
FREQ00000454,ALU00038,2026-10-01,88.87
FREQ00000455,ALU00038,2026-11-01,97.44
FREQ00000456,ALU00038,2026-12-01,91.9
FREQ00000457,ALU00039,2026-01-01,91.62
FREQ00000458,ALU00039,2026-02-01,88.71
FREQ00000459,ALU00039,2026-03-01,92.1
FREQ00000460,ALU00039,2026-04-01,89.33
FREQ00000461,ALU00039,2026-05-01,90.4
FREQ00000462,ALU00039,2026-06-01,93.16
FREQ00000463,ALU00039,2026-07-01,95.1
FREQ00000464,ALU00039,2026-08-01,87.96
FREQ00000465,ALU00039,2026-09-01,91.38
FREQ00000466,ALU00039,2026-10-01,88.99
FREQ00000467,ALU00039,2026-11-01,89.33
FREQ00000468,ALU00039,2026-12-01,87.96
FREQ00000469,ALU00040,2026-01-01,88.11
FREQ00000470,ALU00040,2026-02-01,89.6
FREQ00000471,ALU00040,2026-03-01,92.43
FREQ00000472,ALU00040,2026-04-01,95.72
FREQ00000473,ALU00040,2026-05-01,92.11
FREQ00000474,ALU00040,2026-06-01,97.73
FREQ00000475,ALU00040,2026-07-01,94.88
FREQ00000476,ALU00040,2026-08-01,98.28
FREQ00000477,ALU00040,2026-09-01,97.44
FREQ00000478,ALU00040,2026-10-01,93.35
FREQ00000479,ALU00040,2026-11-01,98.41
FREQ00000480,ALU00040,2026-12-01,93.47
FREQ00000481,ALU00041,2026-01-01,91.6
FREQ00000482,ALU00041,2026-02-01,88.69
FREQ00000483,ALU00041,2026-03-01,91.57
FREQ00000484,ALU00041,2026-04-01,98.27
FREQ00000485,ALU00041,2026-05-01,96.4
FREQ00000486,ALU00041,2026-06-01,91.11
FREQ00000487,ALU00041,2026-07-01,95.42
FREQ00000488,ALU00041,2026-08-01,89.57
FREQ00000489,ALU00041,2026-09-01,93.59
FREQ00000490,ALU00041,2026-10-01,97.05
FREQ00000491,ALU00041,2026-11-01,97.35
FREQ00000492,ALU00041,2026-12-01,96.32
FREQ00000493,ALU00042,2026-01-01,98.97
FREQ00000494,ALU00042,2026-02-01,98.66
FREQ00000495,ALU00042,2026-03-01,91.02
FREQ00000496,ALU00042,2026-04-01,96.02
FREQ00000497,ALU00042,2026-05-01,91.19
FREQ00000498,ALU00042,2026-06-01,87.86
FREQ00000499,ALU00042,2026-07-01,93.57
FREQ00000500,ALU00042,2026-08-01,87.58
FREQ00000501,ALU00042,2026-09-01,96.81
FREQ00000502,ALU00042,2026-10-01,89.03
FREQ00000503,ALU00042,2026-11-01,87.11
FREQ00000504,ALU00042,2026-12-01,91.22
FREQ00000505,ALU00043,2026-01-01,96.99
FREQ00000506,ALU00043,2026-02-01,93.42
FREQ00000507,ALU00043,2026-03-01,91.29
FREQ00000508,ALU00043,2026-04-01,89.35
FREQ00000509,ALU00043,2026-05-01,97.39
FREQ00000510,ALU00043,2026-06-01,93.68
FREQ00000511,ALU00043,2026-07-01,88.95
FREQ00000512,ALU00043,2026-08-01,90.39
FREQ00000513,ALU00043,2026-09-01,98.82
FREQ00000514,ALU00043,2026-10-01,90.71
FREQ00000515,ALU00043,2026-11-01,89.58
FREQ00000516,ALU00043,2026-12-01,95.22
FREQ00000517,ALU00044,2026-01-01,87.04
FREQ00000518,ALU00044,2026-02-01,98.53
FREQ00000519,ALU00044,2026-03-01,90.47
FREQ00000520,ALU00044,2026-04-01,97.69
FREQ00000521,ALU00044,2026-05-01,91.99
FREQ00000522,ALU00044,2026-06-01,97.07
FREQ00000523,ALU00044,2026-07-01,97.3
FREQ00000524,ALU00044,2026-08-01,95.78
FREQ00000525,ALU00044,2026-09-01,89.52
FREQ00000526,ALU00044,2026-10-01,92.21
FREQ00000527,ALU00044,2026-11-01,91.93
FREQ00000528,ALU00044,2026-12-01,98.13
FREQ00000529,ALU00045,2026-01-01,90.52
FREQ00000530,ALU00045,2026-02-01,93.59
FREQ00000531,ALU00045,2026-03-01,91.62
FREQ00000532,ALU00045,2026-04-01,95.14
FREQ00000533,ALU00045,2026-05-01,96.65
FREQ00000534,ALU00045,2026-06-01,89.69
FREQ00000535,ALU00045,2026-07-01,88.86
FREQ00000536,ALU00045,2026-08-01,91.8
FREQ00000537,ALU00045,2026-09-01,94.08
FREQ00000538,ALU00045,2026-10-01,88.16
FREQ00000539,ALU00045,2026-11-01,88.12
FREQ00000540,ALU00045,2026-12-01,94.76
FREQ00000541,ALU00046,2026-01-01,93.82
FREQ00000542,ALU00046,2026-02-01,98.4
FREQ00000543,ALU00046,2026-03-01,96.61
FREQ00000544,ALU00046,2026-04-01,90.55
FREQ00000545,ALU00046,2026-05-01,95.88
FREQ00000546,ALU00046,2026-06-01,98.18
FREQ00000547,ALU00046,2026-07-01,96.27
FREQ00000548,ALU00046,2026-08-01,96.48
FREQ00000549,ALU00046,2026-09-01,95.19
FREQ00000550,ALU00046,2026-10-01,95.75
FREQ00000551,ALU00046,2026-11-01,89.71
FREQ00000552,ALU00046,2026-12-01,98.39
FREQ00000553,ALU00047,2026-01-01,90.34
FREQ00000554,ALU00047,2026-02-01,91.48
FREQ00000555,ALU00047,2026-03-01,87.39
FREQ00000556,ALU00047,2026-04-01,98.7
FREQ00000557,ALU00047,2026-05-01,93.61
